genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
CU207366	PUL1	CU207366.1_9	CU207366.1	7743	9347	+	0	CU207366.1_9		GH32	
CU207366	PUL1	CU207366.1_10	CU207366.1	9358	12510	+	11	CU207366.1_10	susC		
CU207366	PUL1	CU207366.1_11	CU207366.1	12523	14265	+	13	CU207366.1_11	susD		
CU207366	PUL1	CU207366.1_12	CU207366.1	14387	15280	+	122	CU207366.1_12			
CU207366	PUL1	CU207366.1_13	CU207366.1	15328	15654	+	48	CU207366.1_13			
CU207366	PUL1	CU207366.1_14	CU207366.1	15743	16597	+	89	CU207366.1_14			
CU207366	PUL1	CU207366.1_15	CU207366.1	16846	18255	-	249	CU207366.1_15		GT2_Glycos_transf_2	
CU207366	PUL2	CU207366.1_30	CU207366.1	42573	43751	-	24318	CU207366.1_30		GH53	
CU207366	PUL2	CU207366.1_31	CU207366.1	43979	45130	-	228	CU207366.1_31			
CU207366	PUL2	CU207366.1_32	CU207366.1	45150	46703	-	20	CU207366.1_32	susD		
CU207366	PUL2	CU207366.1_33	CU207366.1	46753	49728	-	50	CU207366.1_33	susC		
CU207366	PUL3	CU207366.1_342	CU207366.1	414012	417122	+	364284	CU207366.1_342	susC		
CU207366	PUL3	CU207366.1_343	CU207366.1	417150	418580	+	28	CU207366.1_343	susD		
CU207366	PUL3	CU207366.1_344	CU207366.1	418585	419943	+	5	CU207366.1_344		GH144	
CU207366	PUL3	CU207366.1_345	CU207366.1	420137	421516	+	194	CU207366.1_345		GH144	
CU207366	PUL3	CU207366.1_346	CU207366.1	421506	422309	+	-10	CU207366.1_346		CE1	
CU207366	PUL3	CU207366.1_347	CU207366.1	422316	424118	+	7	CU207366.1_347		GH43_28;CBM32	
CU207366	PUL3	CU207366.1_348	CU207366.1	424155	426428	+	37	CU207366.1_348		GH3	
CU207366	PUL3	CU207366.1_349	CU207366.1	426602	429175	-	174	CU207366.1_349		CBM57;GH2_2	
CU207366	PUL4	CU207366.1_644	CU207366.1	759215	762271	+	330040	CU207366.1_644	susC		
CU207366	PUL4	CU207366.1_645	CU207366.1	762284	763852	+	13	CU207366.1_645	susD		
CU207366	PUL4	CU207366.1_646	CU207366.1	763922	765472	+	70	CU207366.1_646		GH51_1	
CU207366	PUL4	CU207366.1_647	CU207366.1	765479	767104	+	7	CU207366.1_647		GH43_4	
CU207366	PUL4	CU207366.1_648	CU207366.1	767108	769498	+	4	CU207366.1_648		GH146	
CU207366	PUL4	CU207366.1_649	CU207366.1	769498	770460	+	0	CU207366.1_649		GH43_29	
CU207366	PUL4	CU207366.1_650	CU207366.1	770460	771458	+	0	CU207366.1_650		GH43_5	
CU207366	PUL4	CU207366.1_651	CU207366.1	771617	772720	+	159	CU207366.1_651		GH43_26	
CU207366	PUL5	CU207366.1_952	CU207366.1	1082916	1084052	-	310196	CU207366.1_952		GH188	
CU207366	PUL5	CU207366.1_953	CU207366.1	1084064	1085302	-	12	CU207366.1_953			
CU207366	PUL5	CU207366.1_954	CU207366.1	1085319	1086317	-	17	CU207366.1_954			
CU207366	PUL5	CU207366.1_955	CU207366.1	1086464	1088167	+	147	CU207366.1_955		AA3	
CU207366	PUL5	CU207366.1_956	CU207366.1	1088179	1088823	+	12	CU207366.1_956			
CU207366	PUL5	CU207366.1_957	CU207366.1	1089103	1092225	+	280	CU207366.1_957	susC		
CU207366	PUL5	CU207366.1_958	CU207366.1	1092236	1093822	+	11	CU207366.1_958	susD		
CU207366	PUL6	CU207366.1_1068	CU207366.1	1204786	1205853	-	110964	CU207366.1_1068		PL7_5	
CU207366	PUL6	CU207366.1_1069	CU207366.1	1205921	1206868	-	68	CU207366.1_1069			
CU207366	PUL6	CU207366.1_1070	CU207366.1	1207048	1209348	+	180	CU207366.1_1070		PL6_1;PL6	
CU207366	PUL6	CU207366.1_1071	CU207366.1	1209355	1210431	+	7	CU207366.1_1071		PL7_5	
CU207366	PUL6	CU207366.1_1072	CU207366.1	1210881	1211234	+	450	CU207366.1_1072			
CU207366	PUL6	CU207366.1_1073	CU207366.1	1211337	1213124	+	103	CU207366.1_1073		PL17_2	
CU207366	PUL6	CU207366.1_1074	CU207366.1	1213130	1213474	+	6	CU207366.1_1074		AA18	
CU207366	PUL6	CU207366.1_1075	CU207366.1	1213841	1216894	+	367	CU207366.1_1075	susC		
CU207366	PUL6	CU207366.1_1076	CU207366.1	1216922	1218346	+	28	CU207366.1_1076	susD		
CU207366	PUL6	CU207366.1_1077	CU207366.1	1218371	1219324	+	25	CU207366.1_1077			
CU207366	PUL6	CU207366.1_1078	CU207366.1	1219369	1220250	+	45	CU207366.1_1078		PL7	
CU207366	PUL6	CU207366.1_1079	CU207366.1	1220228	1221169	+	-22	CU207366.1_1079		PL7	
CU207366	PUL7	CU207366.1_1175	CU207366.1	1314869	1318390	+	93700	CU207366.1_1175	susC		
CU207366	PUL7	CU207366.1_1176	CU207366.1	1318403	1319782	+	13	CU207366.1_1176	susD		
