genome	pulid	contigid	start	end	pattern
JH724241	PUL1	JH724241.1	149113	167234	GH97-GH92-GH3-CE20-unk-unk-unk-susD-susC
JH724241	PUL2	JH724241.1	181287	189015	GH93-GH5_13-susD-susC
JH724241	PUL3	JH724241.1	195386	209259	GH89-unk-unk-unk-GH89-unk-susD-susC
JH724241	PUL4	JH724241.1	212263	236533	susC-susD-unk-unk-unk-CE1-CE1-unk-unk-unk-GH18-unk-susD-susC
JH724241	PUL5	JH724241.1	274406	298136	GH2_4-CE7-unk-unk-GH105-GH3-GH3-unk-unk-unk-susD-susC
JH724241	PUL6	JH724241.1	313562	357325	GH182-GH105-GH2_17-GH130_3-GH2_17-unk-unk-unk-susD-susC-unk-GH43_3-unk-GH105-GH93-GH115-susD-susC-unk-unk-unk-unk-GH177-GH43_3
JH724241	PUL7	JH724241.1	433252	490246	GH172-GH5_2-susC-susD-unk-GH5_5-GH2_13-GH5_5-GH140-GH130_1-unk-CBM67;GH78-unk-CE20-unk-unk-unk-unk-GH3-GH2_1-GH31_4-unk-GH9-unk-susD-susC-GH5_4-GH43_12;CBM91-GH43_12;CBM91-GH3
JH724241	PUL8	JH724241.1	503572	528877	GH105-unk-susD-susC-unk-GH30_4-GH43_34-unk-susD-susC-unk-unk-GH18
JH724241	PUL9	JH724241.1	609101	614283	susC-susD
JH724241	PUL10	JH724241.1	623081	636099	GH3-GH3-GH144-GH43_28;CBM32-susD-susC
JH724241	PUL11	JH724241.1	643890	653292	GH16_3-susC-susD-unk-GH3
JH724241	PUL12	JH724241.1	659223	688069	PL38-unk-unk-AA18-PL17_2-PL6;PL6_1-unk-susD-susC-unk-GH3-PL30;GH29-GH95-GH123-GH29
JH724241	PUL13	JH724241.1	692966	745642	susC-susD-susC-susD-GH16_3-unk-GH31-GH66-unk-susD-susC-unk-unk-unk-GH2_18-unk-GH43-unk-GH51_2-unk-unk-susD-susC-susD-susC-GH43_31
JH724241	PUL14	JH724241.1	758968	763985	susC-susD
JH724241	PUL15	JH724241.1	772927	793183	GH92-unk-unk-unk-unk-CE7-unk-GH130_1-GH26-GH26-unk-unk-susD-susC
JH724241	PUL16	JH724241.1	826677	837470	GH78-unk-susD-susC-GH92
JH724241	PUL17	JH724241.1	843086	847976	susC-susD
JH724241	PUL18	JH724241.1	860119	871917	CE20-susC-susD-PL35-PL35-GH88
JH724241	PUL19	JH724241.1	890986	899687	susD-susC-unk-unk-GH130_4
JH724241	PUL20	JH724241.1	946955	951911	susD-susC
JH724241	PUL21	JH724241.1	959288	970476	CE4-GT117-unk-unk-susC-susD
JH724241	PUL22	JH724241.1	1043160	1057144	GH125-GH76-unk-unk-unk-unk-susD-susC
JH724241	PUL23	JH724241.1	1073733	1078551	susD-susC
JH724241	PUL24	JH724241.1	1088784	1099303	susC-susD-GH30_3-unk-GH3
JH724241	PUL25	JH724241.1	1123324	1135281	PL8_2-unk-unk-unk-susD-susC
JH724241	PUL26	JH724241.1	1162441	1203340	susC-susD-GH43_3-unk-GH2_18-GH106-unk-GH127-unk-susD-susC-unk-unk-unk-unk-GH88-unk-PL8_2-unk-unk-unk-unk-PL29
JH724241	PUL27	JH724241.1	1349744	1369231	susD-susC-susD-susC-unk-unk-unk-unk-susD-susC
JH724241	PUL28	JH724241.1	1377984	1383152	susC-susD
JH724241	PUL29	JH724241.1	1402178	1432891	GH2_18-GH43_26-GH43_34-unk-unk-susC-susD-GH76-unk-unk-GH76-unk-unk-unk-GH92-GH125-unk-unk-GH127
JH724241	PUL30	JH724241.1	1469807	1482820	GH3-GH42-GH43_34-GH43_26-unk-susC-susD
JH724241	PUL31	JH724241.1	1492802	1530254	susC-GH144-GH3-susD-susC-unk-unk-unk-unk-GH177-unk-GH177-unk-unk-unk-unk-CE9-unk-GH32-GH20-unk-susD-susC
JH724241	PUL32	JH724241.1	1544773	1595535	GH43_10;CBM91-GH3-GH43_12;CBM91-GH31_4-GH97-GH43_29;CBM6-GH43_12;CBM91-susC-susD-susC-susD-unk-GH10-GH5_21-CE6;CE1-GH43_29;CBM6-unk-GH95-unk-unk-GH30_12-susC-susD
JH724241	PUL33	JH724241.1	1668283	1706614	GT2_Glycos_transf_2-GH20-unk-unk-susC-susD-unk-unk-unk-GH2_6-unk-unk-GH13_47;CBM98-unk-unk-susD-susC-GH97-GH13_46
JH724241	PUL34	JH724241.1	1741370	1746349	susC-susD
JH724241	PUL35	JH724241.1	1760591	1769621	susC-susD-unk-unk-CE7
JH724241	PUL36	JH724241.1	1773904	1794596	PL1_2-CE8-GH95-susC-susD-unk-CE8-unk-GH28
JH724241	PUL37	JH724241.1	1804409	1809759	susC-susD
JH724241	PUL38	JH724241.1	1824347	1841926	susC-susD-unk-unk-GH50-unk-GH99-GH31_4-CBM57;GH2_2-CE20
JH724241	PUL39	JH724241.1	1844751	1869290	GH92-GH130_3-GH125-GH76-unk-GH92-unk-unk-unk-GH76-susC-susD
JH724241	PUL40	JH724241.1	1882545	1887325	susC-susD
JH724241	PUL41	JH724241.1	1981818	2001459	GH88-unk-unk-PL15_2-unk-unk-unk-PL15_2-susC-susD
JH724241	PUL42	JH724241.1	2032073	2041159	susC-susD-unk-GH89
JH724241	PUL43	JH724241.1	2072500	2077827	susC-susD
JH724241	PUL44	JH724241.1	2106240	2110913	susC-susD
JH724241	PUL45	JH724241.1	2125902	2152022	GH31_1-GH76-unk-susC-susD-unk-unk-GH31_15-GH92-GH92-unk-GH43_34;GH92-GH97
JH724241	PUL46	JH724241.1	2185401	2199993	susD-susC-unk-GH92-GH92-unk-unk-GH92
JH724241	PUL47	JH724241.1	2300419	2319180	susC-susD-unk-unk-unk-susD-unk-GH92-GH92-GH130_3
JH724241	PUL48	JH724241.1	2338847	2383632	GH105-CE8-CE8;CE12-unk-unk-PL1_2-PL1_2-PL1_2-CE8-unk-susD-susC-unk-unk-PL1_2-unk-unk-PL1_2-susC-susD-unk-unk-CE8-GH28
JH724241	PUL49	JH724241.1	2416214	2505635	susC-susD-unk-unk-GH106-GH28-unk-GH28-CE12-GH2_20-GH43_34;GH43_18-GH42-unk-GH28-unk-susD-susC-unk-unk-unk-susC-susD-susC-susD-PL11_1-PL26-CE12-GH105-PL11_1-GH105-unk-unk-unk-CE4-GH105-unk-unk-unk-CE12-unk-unk-unk-susD-susC-unk-GH2_21-unk-PL11-GH28
JH724241	PUL50	JH724241.1	2506148	2538507	PL9_1-unk-GH28-CE20;GH105-unk-PL1_2-unk-unk-susC-susD-unk-unk-susC-unk-unk-unk-GH28
JH724241	PUL51	JH724241.1	2665443	2670606	susD-susC
JH724241	PUL52	JH724241.1	2705607	2724988	susC-susD-unk-unk-GH35-GH89-unk-unk-susC-susD
JH724241	PUL53	JH724241.1	2816197	2821047	susC-susD
JH724241	PUL54	JH724241.1	2839283	2851688	susC-unk-unk-unk-unk-susC-unk-unk-susC-susD
JH724241	PUL55	JH724241.1	3143726	3167456	PL15_2-unk-unk-unk-unk-PL12_2-GH88-susD-susC-unk-PL12_2-GH95
JH724241	PUL56	JH724241.1	3182735	3201205	GH2_1-GH53-unk-susD-susC-GH147-unk-unk-PL13
JH724241	PUL57	JH724241.1	3232790	3237505	susC-susD
JH724241	PUL58	JH724241.1	3250675	3266082	GH33-unk-unk-susC-susD-unk-unk-unk-unk-GH3
JH724241	PUL59	JH724241.1	3275098	3279874	susC-susD
JH724241	PUL60	JH724241.1	3337375	3374368	PL40-unk-susC-unk-unk-unk-GH28-unk-unk-unk-unk-susC-susD-unk-unk-unk-GH28-unk-unk-unk-GH97
JH724241	PUL61	JH724241.1	3389744	3400752	susC-susD-unk-unk-GH2_10
JH724241	PUL62	JH724241.1	3405785	3426401	susC-susD-unk-unk-GH36-CBM91;GH43_10-GH88-unk-unk-unk-unk-susC-unk-CE1
JH724241	PUL63	JH724241.1	3464172	3469030	susC-susD
JH724241	PUL64	JH724241.1	3488471	3492937	susC-susD
