genome	pulid	contigid	start	end	pattern
CP000685	PUL1	CP000685.1	189511	194585	susD-susC
CP000685	PUL2	CP000685.1	413623	418344	susC-susD
CP000685	PUL3	CP000685.1	725346	730065	susC-susD
CP000685	PUL4	CP000685.1	850019	873685	GH95-CE20-GH5_4-GH3-GH39-GH97-unk-GH31_3-GH2_1-unk-susD-susC
CP000685	PUL5	CP000685.1	1373643	1386685	GH13_48;CBM26-GH97-GH13_48-unk-susD-susC
CP000685	PUL6	CP000685.1	1592291	1613134	GH13_19-GH13_46-GH97-GH65-unk-unk-unk-susC-susD-unk-GH13_47
CP000685	PUL7	CP000685.1	1807610	1822482	susC-susD-GH30_1-GH30_1-GH3-unk-GH30_3-GH3
CP000685	PUL8	CP000685.1	2222995	2227657	susC-susD
CP000685	PUL9	CP000685.1	2343196	2348213	susC-susD
CP000685	PUL10	CP000685.1	2365896	2412764	susC-susD-GH5_13-GH43_18-GH2_18-GH43_26-unk-GH43_31-CBM32;GH29-unk-unk-unk-GH92-unk-unk-GH130_2-CBM9-unk-unk-GH2_10-GH20-GH29-GH92-GH3-susC-susD-GH33
CP000685	PUL11	CP000685.1	2460478	2470923	susC-susD-GH10-unk-GH50-GH2_4
CP000685	PUL12	CP000685.1	2912487	2921156	susC-susD-CBM102-CBM103;GH16_3-GH16_3
CP000685	PUL13	CP000685.1	3226034	3239387	susC-susD-GH2_13-GH92-GH92-GH125
CP000685	PUL14	CP000685.1	3432722	3437925	susD-susC
CP000685	PUL15	CP000685.1	3589451	3593890	susC-susD
CP000685	PUL16	CP000685.1	3706420	3718404	GH92-GH92-susD-susC-GH89
CP000685	PUL17	CP000685.1	3885532	3894708	susD-susC-unk-unk-unk-susC
CP000685	PUL18	CP000685.1	3987732	3992556	susC-susD
CP000685	PUL19	CP000685.1	4192181	4203944	GH43_28;CBM32-unk-GH3-CE1-GH144-susD-susC
CP000685	PUL20	CP000685.1	4243737	4248180	susC-susD
CP000685	PUL21	CP000685.1	4505445	4514626	susD-susC-unk-unk-GH97
CP000685	PUL22	CP000685.1	4570513	4601625	susC-unk-unk-unk-GH3-unk-susC-susD-unk-GH10-GH16-GH8-unk-unk-susD-susC
CP000685	PUL23	CP000685.1	4606393	4627427	GH97-GH3-GH43_10;CBM91-GH146-GH115-CE6;CE1-unk-CBM91;GH43_12-susD-susC
CP000685	PUL24	CP000685.1	4702293	4707236	susD-susC
CP000685	PUL25	CP000685.1	4860349	4910921	susC-unk-unk-GH2_1-CBM57;GH2_8;CBM97-GH138-unk-GH33-unk-unk-CBM67;GH78-unk-GH142-GH95-CE19-GH78;CBM67-GH143-GH43_18-GH28-GH140-PL29-PL1_2-unk-PL1_2-susD-susC
CP000685	PUL26	CP000685.1	4995496	5000550	susD-susC
CP000685	PUL27	CP000685.1	5032848	5049523	PL29-unk-susC-susD-GH88-GH2_2-GH2_4
CP000685	PUL28	CP000685.1	5074699	5105641	susC-PL11_1-unk-unk-GH2_11-CE12-unk-GH28-unk-unk-GH117-CE20-susD-susC-GH106-GH105
CP000685	PUL29	CP000685.1	5124512	5141546	CE12-GH28-PL10_1;CE8-GH43_10;CBM91-GH105-GH105-GH105-unk-susD-susC-GH28
CP000685	PUL30	CP000685.1	5225256	5233320	GH97-GH99-susD-susC
CP000685	PUL31	CP000685.1	5276194	5280656	susC-susD
CP000685	PUL32	CP000685.1	5337222	5351974	GH65-GH97-GH31-GH66-unk-susD-susC
CP000685	PUL33	CP000685.1	5413366	5418702	susD-susC
CP000685	PUL34	CP000685.1	5429157	5433770	susD-susC
CP000685	PUL35	CP000685.1	5499208	5519455	GH18-GH20-unk-susD-susC-GH18-susD-susC
CP000685	PUL36	CP000685.1	5614543	5619156	susC-susD
CP000685	PUL37	CP000685.1	5650685	5655354	susC-susD
CP000685	PUL38	CP000685.1	5809230	5839117	GH171-unk-GH20-unk-CE1-unk-unk-unk-unk-susC-susD-GH171-unk-unk-GH3-unk-susC
CP000685	PUL39	CP000685.1	5974734	6002726	GH5_2-GH27-unk-unk-susD-susC-unk-GH26-unk-GH130_1-unk-GH26-GH5_7-unk-GH97-unk-unk-unk-GH3-CE20-CE2
