Organism,Scaffold,Start,End,Score,NZ_CAJQES010000007_48,NZ_CAJQES010000007_49,NZ_CAJQES010000007_50,NZ_CAJQES010000007_51,NZ_CAJQES010000007_52,NZ_CAJQES010000007_53,NZ_CAJQES010000007_54,NZ_CAJQES010000007_55,NZ_CAJQES010000007_56,NZ_CAJQES010000007_57,NZ_CAJQES010000007_58,NZ_CAJQES010000007_59,NZ_CAJQES010000007_60,NZ_CAJQES010000007_61,NZ_CAJQES010000007_62,NZ_CAJQES010000007_63,NZ_CAJQES010000007_64,NZ_CAJQES010000007_65,NZ_CAJQES010000007_66,NZ_CAJQES010000007_67,NZ_CAJQES010000007_68,NZ_CAJQES010000007_69,NZ_CAJQES010000007_70,NZ_CAJQES010000007_71,NZ_CAJQES010000007_72,NZ_CAJQES010000007_73,NZ_CAJQES010000007_74,NZ_CAJQES010000007_75,NZ_CAJQES010000007_76,NZ_CAJQES010000007_77,NZ_CAJQES010000007_78,NZ_CAJQES010000007_79,NZ_CAJQES010000007_80,NZ_CAJQES010000007_81,NZ_CAJQES010000007_82,NZ_CAJQES010000007_83,NZ_CAJQES010000007_84,NZ_CAJQES010000007_85
CP002534,CP002534.1,1439325,1446936,4.2605,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP476056,FP476056.1,4493529,4500301,6.3339,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP476056,FP476056.1,3067453,3070549,4.1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
NC_014934,NC_014934.1,4800362,4804683,7.2323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NC_014934,NC_014934.1,4815652,4820668,5.2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CAJQES010000007,NZ_CAJQES010000007.1,56813,116108,78.6284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP009976,NZ_CP009976.1,4038115,4043194,7.2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NZ_CP009976,NZ_CP009976.1,4053871,4058886,5.2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP074436,NZ_CP074436.1,1237387,1241704,7.2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
NZ_JQNJ01000001,NZ_JQNJ01000001.1,3049547,3064167,5.4284,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_VISB01000001,NZ_VISB01000001.1,352497,369499,14.9170,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
