Organism,Scaffold,Start,End,Score,CP000139_177,CP000139_178,CP000139_179,CP000139_180,CP000139_181,CP000139_182,CP000139_183,CP000139_184,CP000139_185,CP000139_186,CP000139_187,CP000139_188,CP000139_189,CP000139_190,CP000139_191,CP000139_192,CP000139_193
AAXF02000054,AAXF02000054.1,370559,385885,10.6708,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
ABJL02000008,ABJL02000008.1,2602820,2609790,4.3416,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
AE015928,AE015928.1,5441390,5455099,7.5539,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
CP000139,CP000139.1,266684,296905,35.0175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP012801,CP012801.1,5479800,5484964,4.2642,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
DS264584,DS264584.1,370559,385885,10.6708,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
FP929033,FP929033.1,4024207,4040084,10.6705,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
JH724241,JH724241.1,2424201,2439527,10.6710,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
LT622246,LT622246.1,2989775,3005101,10.6708,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
NC_004663,NC_004663.1,5441390,5455099,7.5539,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
NC_009614,NC_009614.1,268329,296905,32.9113,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_ABJL02000008,NZ_ABJL02000008.1,2604229,2609790,3.2700,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
NZ_CP012938,NZ_CP012938.1,5695359,5710685,10.6708,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
NZ_CP046176,NZ_CP046176.1,4092287,4124046,34.9802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,1053806,1069132,7.5510,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
NZ_DS264584,NZ_DS264584.1,370559,385885,10.6708,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
NZ_DS995531,NZ_DS995531.1,42178,73562,34.9802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
