Organism,Scaffold,Start,End,Score,GL945092_17,GL945092_18,GL945092_19,GL945092_20,GL945092_21,GL945092_22,GL945092_23
GL945092,GL945092.1,21042,32944,13.7709,1,1,1,1,1,1,1
JH724241,JH724241.1,663266,675144,7.5850,1,1,0,1,1,0,1
NZ_CP113514,NZ_CP113514.1,6037277,6049179,10.7634,1,1,1,1,1,0,1
