Organism,Scaffold,Start,End,Score,CP067366_46,CP067366_47
CP166135,CP166135.1,54881,57705,3.1964,1,1
FM179324,FM179324.1,40410,43234,3.1964,1,1
NC_004567,NC_004567.2,3091773,3094597,3.1953,1,1
