genome	pulid	contigid	start	end	pattern
CU207366	PUL1	CU207366.1	7743	18255	GH32-susC-susD-unk-unk-unk-GT2_Glycos_transf_2
CU207366	PUL2	CU207366.1	42573	49728	GH53-unk-susD-susC
CU207366	PUL3	CU207366.1	414012	429175	susC-susD-GH144-GH144-CE1-GH43_28;CBM32-GH3-CBM57;GH2_2
CU207366	PUL4	CU207366.1	759215	772720	susC-susD-GH51_1-GH43_4-GH146-GH43_29-GH43_5-GH43_26
CU207366	PUL5	CU207366.1	1082916	1093822	GH188-unk-unk-AA3-unk-susC-susD
CU207366	PUL6	CU207366.1	1204786	1221169	PL7_5-unk-PL6_1;PL6-PL7_5-unk-PL17_2-AA18-susC-susD-unk-PL7-PL7
CU207366	PUL7	CU207366.1	1314869	1319782	susC-susD
CU207366	PUL8	CU207366.1	1433381	1437779	susD-susC
CU207366	PUL9	CU207366.1	1775895	1819964	susC-susD-unk-GH16_26-GH16_26-unk-unk-CE1-GH2_1-GH117-unk-unk-unk-CBM16;CBM99;CBM6;GH16_12-GH2_6-GH16_14-unk-unk-unk-susD-susC-unk-unk-GH63-unk-GH2_10-GT2_Glycos_transf_2
CU207366	PUL10	CU207366.1	2870683	2875200	susD-susC
CU207366	PUL11	CU207366.1	2947635	2952425	susC-susD
CU207366	PUL12	CU207366.1	2947635	2952425	susC-susD
CU207366	PUL13	CU207366.1	2953045	2963767	susC-susD-unk-unk-susC-susD
CU207366	PUL14	CU207366.1	3624584	3636631	susC-susD-CBM102-CBM103;GH16_3-GH3-GH16_3
CU207366	PUL15	CU207366.1	3764539	3769306	susC-susD
