Organism,Scaffold,Start,End,Score,CR626927_3518,CR626927_3519,CR626927_3520,CR626927_3521,CR626927_3522
AP006841,AP006841.1,4312980,4321703,9.5601,1,1,1,1,1
CR626927,CR626927.1,4218916,4227638,9.5616,1,1,1,1,1
FQ312004,FQ312004.1,4253817,4261189,7.4739,0,1,1,1,1
