Organism,Scaffold,Start,End,Score,CP000388_889,CP000388_890,CP000388_891,CP000388_892,CP000388_893,CP000388_894,CP000388_895,CP000388_896,CP000388_897,CP000388_898,CP000388_899,CP000388_900,CP000388_901,CP000388_902,CP000388_903,CP000388_904,CP000388_905,CP000388_906,CP000388_907,CP000388_908,CP000388_909,CP000388_910,CP000388_911
CP000388,CP000388.1,1036848,1074395,47.2122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
NC_008228,NC_008228.1,1036848,1074395,44.1806,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
NZ_LSNE01000005,NZ_LSNE01000005.1,232980,241400,3.1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
