genome	pulid	contigid	start	end	pattern
NZ_DS264579	PULpy_PUL1	NZ_DS264579.1	3336	74784	GH172-GH5_2-susC-susD-unk-GH5_5-GH2_13-GH5_5-GH140-GH130_1-unk-CBM67;GH78-unk-CE20-unk-unk-unk-unk-GH3-GH2_1-GH31_4-unk-GH9-unk-susD-susC-GH5_4-GH43_12;CBM91-CBM91;GH43_12-GH3-unk-GH30_4-GH43_34-unk-susD-susC-unk-GH18
NZ_DS264579	PULpy_PUL2	NZ_DS264579.1	98061	148949	GH2_10-CE12-unk-unk-GH106-unk-unk-PL11_1-unk-susC-unk-unk-susD-susC-unk-GH2_2-GH88-GH154-unk-GH28-GH95-GH2_21-GH105-PL11_1
NZ_DS264579	PULpy_PUL3	NZ_DS264579.1	157460	162642	susC-susD
NZ_DS264579	PULpy_PUL4	NZ_DS264579.1	178929	188331	GH16_3-susC-susD-unk-GH3
NZ_DS264579	PULpy_PUL5	NZ_DS264579.1	188931	204092	CE20-unk-unk-susD-susC-GH3-unk-GH36
NZ_DS264579	PULpy_PUL6	NZ_DS264579.1	231313	241703	GH31-GH66-unk-susD-susC
NZ_DS264579	PULpy_PUL7	NZ_DS264579.1	248593	274184	GH2_18-unk-GH43-unk-GH51_2-unk-unk-susD-susC-susD-susC-GH43_31
NZ_DS264579	PULpy_PUL8	NZ_DS264579.1	287495	292512	susC-susD
NZ_DS264579	PULpy_PUL9	NZ_DS264579.1	325779	330672	susC-susD
NZ_DS264579	PULpy_PUL10	NZ_DS264579.1	344557	356359	CE20-susC-susD-PL35-PL35-GH88
NZ_DS264579	PULpy_PUL11	NZ_DS264579.1	380018	388716	susD-susC-unk-unk-GH130_4
NZ_CP113514	PULpy_PUL1	NZ_CP113514.1	3171	8339	susC-susD
NZ_CP113514	PULpy_PUL2	NZ_CP113514.1	26598	78541	GH2_18-unk-GH115-susC-susD-susC-susD-unk-GH76-GH67-unk-unk-GH115-GH43_26-GH43_34-unk-unk-susC-susD-GH76-unk-unk-GH76-unk-unk-unk-GH92-GH125-unk-GH127
NZ_CP113514	PULpy_PUL3	NZ_CP113514.1	109286	129596	susC-GH144-GH3-susD-susC-unk-unk-unk-unk-GH177-unk-GH177
NZ_CP113514	PULpy_PUL4	NZ_CP113514.1	133626	146877	CE9-unk-unk-susD-susC-CE6-CBM96
NZ_CP113514	PULpy_PUL5	NZ_CP113514.1	163844	206738	CBM91;GH43_10-GH3-GH43_12;CBM91-GH31_4-GH97-GH31_4-GH43_29;CBM6-unk-CBM91;GH43_12-susC-susD-susC-susD-unk-GH10-unk-GH5_21-CE1;CE6-GH43_29;CBM6-unk-GH95
NZ_CP113514	PULpy_PUL6	NZ_CP113514.1	262787	280259	GT2_Glycos_transf_2-unk-unk-unk-unk-GH13_47;CBM98-unk-unk-susD-susC-GH97-GH13_46
NZ_CP113514	PULpy_PUL7	NZ_CP113514.1	312187	317166	susC-susD
NZ_CP113514	PULpy_PUL8	NZ_CP113514.1	360516	381207	PL1_2-CE8-GH95-susC-susD-unk-CE8-unk-GH28
NZ_CP113514	PULpy_PUL9	NZ_CP113514.1	400504	418084	susC-susD-unk-unk-GH50-unk-GH99-GH31_4-CBM57;GH2_2-CE20
NZ_CP113514	PULpy_PUL10	NZ_CP113514.1	435764	460304	GH92-GH130_3-GH125-GH76-unk-GH92-unk-unk-unk-GH76-susC-susD
NZ_CP113514	PULpy_PUL11	NZ_CP113514.1	473852	478347	susC-susD
NZ_CP113514	PULpy_PUL12	NZ_CP113514.1	573035	586701	PL15_2-unk-unk-unk-PL15_2-susC-susD
NZ_CP113514	PULpy_PUL13	NZ_CP113514.1	617203	626289	susC-susD-unk-GH89
