Organism,Scaffold,Start,End,Score,JAPFGC010000002_2524,JAPFGC010000002_2525,JAPFGC010000002_2526,JAPFGC010000002_2527,JAPFGC010000002_2528,JAPFGC010000002_2529,JAPFGC010000002_2530,JAPFGC010000002_2531,JAPFGC010000002_2532,JAPFGC010000002_2533,JAPFGC010000002_2534,JAPFGC010000002_2535,JAPFGC010000002_2536,JAPFGC010000002_2537,JAPFGC010000002_2538,JAPFGC010000002_2539
CP016359,CP016359.1,2574629,2581376,4.2077,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
CU207366,CU207366.1,769497,779761,6.3197,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
JAPFGC010000002,JAPFGC010000002.1,2829898,2854950,32.6587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_JQNJ01000001,NZ_JQNJ01000001.1,571327,582138,5.3173,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
NZ_JQNQ01000001,NZ_JQNQ01000001.1,1428436,1435237,4.2056,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
NZ_VISB01000001,NZ_VISB01000001.1,3942408,3949141,4.2069,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
