Organism,Scaffold,Start,End,Score,NC_003919_2576,NC_003919_2577,NC_003919_2578,NC_003919_2579,NC_003919_2580,NC_003919_2581,NC_003919_2582,NC_003919_2583
AE008922,AE008922.1,2926203,2941997,12.7717,1,1,1,1,1,0,1,1
AM039952,AM039952.1,3176806,3191052,12.8479,1,1,1,1,1,0,1,1
AM743169,AM743169.1,1216834,1227585,5.4170,0,0,1,0,1,0,1,1
NC_003919,NC_003919.1,3056085,3070365,12.8648,1,1,1,1,1,0,1,1
