genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_4	NZ_AAXF02000049.1	3336	5333	-	0	NZ_AAXF02000049.1_4		GH172	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_5	NZ_AAXF02000049.1	5643	6620	+	310	NZ_AAXF02000049.1_5		GH5_2	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_6	NZ_AAXF02000049.1	6740	9991	+	120	NZ_AAXF02000049.1_6	susC		
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_7	NZ_AAXF02000049.1	10004	11767	+	13	NZ_AAXF02000049.1_7	susD		
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_8	NZ_AAXF02000049.1	11797	12969	+	30	NZ_AAXF02000049.1_8			
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_9	NZ_AAXF02000049.1	13029	14114	+	60	NZ_AAXF02000049.1_9		GH5_5	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_10	NZ_AAXF02000049.1	14133	16703	+	19	NZ_AAXF02000049.1_10		GH2_13	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_11	NZ_AAXF02000049.1	16714	17754	+	11	NZ_AAXF02000049.1_11		GH5_5	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_12	NZ_AAXF02000049.1	17759	19120	+	5	NZ_AAXF02000049.1_12		GH140	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_13	NZ_AAXF02000049.1	19147	20316	+	27	NZ_AAXF02000049.1_13		GH130_1	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_14	NZ_AAXF02000049.1	20327	21721	+	11	NZ_AAXF02000049.1_14			
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_15	NZ_AAXF02000049.1	21681	24413	+	-40	NZ_AAXF02000049.1_15		CBM67;GH78	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_16	NZ_AAXF02000049.1	24548	25195	+	135	NZ_AAXF02000049.1_16			
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_17	NZ_AAXF02000049.1	25214	27133	+	19	NZ_AAXF02000049.1_17		CE20	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_18	NZ_AAXF02000049.1	27311	28447	+	178	NZ_AAXF02000049.1_18			
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_19	NZ_AAXF02000049.1	28458	30335	+	11	NZ_AAXF02000049.1_19			
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_20	NZ_AAXF02000049.1	30332	30790	+	-3	NZ_AAXF02000049.1_20			
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_21	NZ_AAXF02000049.1	30828	32405	+	38	NZ_AAXF02000049.1_21			
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_22	NZ_AAXF02000049.1	32561	34804	-	156	NZ_AAXF02000049.1_22		GH3	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_23	NZ_AAXF02000049.1	34812	37340	-	8	NZ_AAXF02000049.1_23		GH2_1	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_24	NZ_AAXF02000049.1	37387	40251	-	47	NZ_AAXF02000049.1_24		GH31_4	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_25	NZ_AAXF02000049.1	40394	44413	-	143	NZ_AAXF02000049.1_25			
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_26	NZ_AAXF02000049.1	44499	46262	-	86	NZ_AAXF02000049.1_26		GH9	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_27	NZ_AAXF02000049.1	46329	47798	-	67	NZ_AAXF02000049.1_27			
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_28	NZ_AAXF02000049.1	47812	49440	-	14	NZ_AAXF02000049.1_28	susD		
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_29	NZ_AAXF02000049.1	49464	52637	-	24	NZ_AAXF02000049.1_29	susC		
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_30	NZ_AAXF02000049.1	52663	54108	-	26	NZ_AAXF02000049.1_30		GH5_4	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_31	NZ_AAXF02000049.1	54344	55924	-	236	NZ_AAXF02000049.1_31		GH43_12;CBM91	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_32	NZ_AAXF02000049.1	56093	57682	-	169	NZ_AAXF02000049.1_32		CBM91;GH43_12	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_33	NZ_AAXF02000049.1	57967	60327	+	285	NZ_AAXF02000049.1_33		GH3	
NZ_AAXF02000049	PUL1	NZ_AAXF02000049.1_34	NZ_AAXF02000049.1	60528	60848	-	201	NZ_AAXF02000049.1_34			
