genome	pulid	contigid	start	end	pattern
NZ_JQNQ01000001	PUL1	NZ_JQNQ01000001.1	164195	168602	susC-susD
NZ_JQNQ01000001	PUL2	NZ_JQNQ01000001.1	525946	530631	susC-susD
NZ_JQNQ01000001	PUL3	NZ_JQNQ01000001.1	995018	999404	susC-susD
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1	1014275	1030388	CBM57;GH2_2-GH3-CBM32;GH43_28-CE1-unk-GH144-GH144-susD-susC
NZ_JQNQ01000001	PUL5	NZ_JQNQ01000001.1	1309163	1313767	susD-susC
NZ_JQNQ01000001	PUL6	NZ_JQNQ01000001.1	1395811	1400859	susD-susC
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1	1435269	1470528	GH146-GH51_1-unk-unk-GH8-CBM91;GH43_12-GH43_29;CBM6-GH43_29-CE1;CE6-GH95-GH43_2-CBM91;GH43_10-CE15-GH97-GH10-GH10-unk-susD-susC
NZ_JQNQ01000001	PUL8	NZ_JQNQ01000001.1	1504581	1508979	susC-susD
NZ_JQNQ01000001	PUL9	NZ_JQNQ01000001.1	1817545	1843546	GH92-GH92-GH43_34-unk-AA3-unk-GH125-unk-unk-susD-susC-GH92-unk-GH92-unk-GH177
NZ_JQNQ01000001	PUL10	NZ_JQNQ01000001.1	1871810	1876793	susD-susC
NZ_JQNQ01000001	PUL11	NZ_JQNQ01000001.1	2151647	2166794	susC-susD-CBM102-unk-CBM103;GH16_3-GH3-GH16_3-unk-GH177
NZ_JQNQ01000001	PUL12	NZ_JQNQ01000001.1	2252968	2278281	GH9-unk-GH27-unk-unk-susD-susC-GH5_2-unk-GH26-unk-GH130_1-unk-GH26-CE20-CE2
NZ_JQNQ01000001	PUL13	NZ_JQNQ01000001.1	2561798	2570444	GH32-GH32-susC-susD
NZ_JQNQ01000001	PUL14	NZ_JQNQ01000001.1	2627878	2637400	susD-susC-susD-susC
NZ_JQNQ01000001	PUL15	NZ_JQNQ01000001.1	2706167	2710666	susC-susD
