Organism,Scaffold,Start,End,Score,NZ_ABJL02000006_40,NZ_ABJL02000006_41,NZ_ABJL02000006_42,NZ_ABJL02000006_43,NZ_ABJL02000006_44,NZ_ABJL02000006_45,NZ_ABJL02000006_46,NZ_ABJL02000006_47,NZ_ABJL02000006_48,NZ_ABJL02000006_49,NZ_ABJL02000006_50,NZ_ABJL02000006_51,NZ_ABJL02000006_52,NZ_ABJL02000006_53
CP000139,CP000139.1,1495286,1507643,8.6628,0,0,0,0,1,0,0,0,0,0,1,1,1,1
CP012801,CP012801.1,2350558,2363801,8.8179,0,0,0,0,0,0,0,0,1,0,1,1,1,1
CP012801,CP012801.1,2337200,2343419,5.3670,1,1,1,0,0,0,0,0,0,0,0,0,0,0
EQ973490,EQ973490.1,1078702,1091946,8.8194,0,0,0,0,0,0,0,0,1,0,1,1,1,1
EQ973490,EQ973490.1,1067385,1073607,5.3641,1,1,1,0,0,0,0,0,0,0,0,0,0,0
NC_009614,NC_009614.1,1495286,1507643,8.6628,0,0,0,0,1,0,0,0,0,0,1,1,1,1
NC_014033,NC_014033.1,314378,323713,4.3631,0,0,0,0,0,0,0,0,1,0,0,1,1,0
NZ_ABJL02000006,NZ_ABJL02000006.1,46950,77011,28.9774,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP046176,NZ_CP046176.1,5468027,5477949,7.5956,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NZ_EQ973490,NZ_EQ973490.1,1078702,1091946,8.8194,0,0,0,0,0,0,0,0,1,0,1,1,1,1
NZ_EQ973490,NZ_EQ973490.1,1067385,1073607,5.3641,1,1,1,0,0,0,0,0,0,0,0,0,0,0
NZ_JH992941,NZ_JH992941.1,89178,117520,23.6401,1,1,1,1,1,1,1,1,1,0,1,1,1,0
