Organism,Scaffold,Start,End,Score,AM406671_1256,AM406671_1257,AM406671_1258,AM406671_1259,AM406671_1260,AM406671_1261,AM406671_1262,AM406671_1263
AM406671,AM406671.1,1210977,1217592,11.4249,0,0,1,1,1,1,1,1
AP012281,AP012281.1,761772,769601,10.4013,1,1,1,1,1,1,1,1
NC_009004,NC_009004.1,1209751,1217592,15.4900,1,1,1,1,1,1,1,1
