Organism,Scaffold,Start,End,Score,LR027880_1082,LR027880_1083,LR027880_1084,LR027880_1085,LR027880_1086,LR027880_1087,LR027880_1088,LR027880_1089,LR027880_1090,LR027880_1091,LR027880_1092,LR027880_1093,LR027880_1094,LR027880_1095
AP042441,AP042441.1,2719457,2730809,12.4914,0,0,0,0,0,1,1,1,1,1,1,0,0,1
LR027880,LR027880.1,1162412,1181578,28.1928,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NC_015977,NC_015977.1,2482003,2500030,13.6592,0,1,1,0,0,0,1,1,1,1,1,0,0,1
