genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
EQ973490	PUL1	EQ973490.1_14	EQ973490.1	21574	23952	-	0	EQ973490.1_14	susC		
EQ973490	PUL1	EQ973490.1_15	EQ973490.1	24202	25578	-	250	EQ973490.1_15		PL1_2	
EQ973490	PUL1	EQ973490.1_16	EQ973490.1	25584	25724	+	6	EQ973490.1_16			
EQ973490	PUL1	EQ973490.1_17	EQ973490.1	25718	27715	-	-6	EQ973490.1_17	susD		
EQ973490	PUL1	EQ973490.1_18	EQ973490.1	27730	30936	-	15	EQ973490.1_18	susC		
EQ973490	PUL1	EQ973490.1_19	EQ973490.1	31269	32666	-	333	EQ973490.1_19			
EQ973490	PUL1	EQ973490.1_20	EQ973490.1	32728	34149	-	62	EQ973490.1_20		GH28	
EQ973490	PUL1	EQ973490.1_21	EQ973490.1	34384	35304	-	235	EQ973490.1_21			
EQ973490	PUL1	EQ973490.1_22	EQ973490.1	35438	36736	-	134	EQ973490.1_22		GH105	
EQ973490	PUL2	EQ973490.1_52	EQ973490.1	73587	76823	+	36851	EQ973490.1_52	susC		
EQ973490	PUL2	EQ973490.1_53	EQ973490.1	76845	78833	+	22	EQ973490.1_53	susD		
EQ973490	PUL2	EQ973490.1_54	EQ973490.1	78856	80019	+	23	EQ973490.1_54			
EQ973490	PUL2	EQ973490.1_55	EQ973490.1	80198	84259	+	179	EQ973490.1_55			
EQ973490	PUL2	EQ973490.1_56	EQ973490.1	84281	85756	+	22	EQ973490.1_56		GH29	
EQ973490	PUL2	EQ973490.1_57	EQ973490.1	85780	86889	+	24	EQ973490.1_57		GH105	
EQ973490	PUL2	EQ973490.1_58	EQ973490.1	86907	89021	+	18	EQ973490.1_58		GH2_2	
EQ973490	PUL2	EQ973490.1_59	EQ973490.1	89078	90631	+	57	EQ973490.1_59		GH109	
EQ973490	PUL2	EQ973490.1_60	EQ973490.1	90704	91153	-	73	EQ973490.1_60			
EQ973490	PUL2	EQ973490.1_61	EQ973490.1	91159	91803	-	6	EQ973490.1_61			
EQ973490	PUL2	EQ973490.1_62	EQ973490.1	91910	93589	-	107	EQ973490.1_62		GH20	
EQ973490	PUL3	EQ973490.1_80	EQ973490.1	109763	111175	-	16174	EQ973490.1_80		GH30_2	
EQ973490	PUL3	EQ973490.1_81	EQ973490.1	111184	112170	-	9	EQ973490.1_81		GH43_2	
EQ973490	PUL3	EQ973490.1_82	EQ973490.1	112213	114615	-	43	EQ973490.1_82		GH3	
EQ973490	PUL3	EQ973490.1_83	EQ973490.1	114822	117086	-	207	EQ973490.1_83		GH92	
EQ973490	PUL3	EQ973490.1_84	EQ973490.1	117217	118179	-	131	EQ973490.1_84		GH43_2	
EQ973490	PUL3	EQ973490.1_85	EQ973490.1	118217	119776	-	38	EQ973490.1_85			
EQ973490	PUL3	EQ973490.1_86	EQ973490.1	119884	120642	-	108	EQ973490.1_86			
EQ973490	PUL3	EQ973490.1_87	EQ973490.1	120662	122671	-	20	EQ973490.1_87	susD		
EQ973490	PUL3	EQ973490.1_88	EQ973490.1	122688	125867	-	17	EQ973490.1_88	susC		
EQ973490	PUL3	EQ973490.1_89	EQ973490.1	125973	127718	-	106	EQ973490.1_89			
EQ973490	PUL3	EQ973490.1_90	EQ973490.1	128005	128130	+	287	EQ973490.1_90			
