Organism,Scaffold,Start,End,Score,NZ_KB905472_418,NZ_KB905472_419,NZ_KB905472_420,NZ_KB905472_421,NZ_KB905472_422,NZ_KB905472_423,NZ_KB905472_424,NZ_KB905472_425,NZ_KB905472_426,NZ_KB905472_427,NZ_KB905472_428,NZ_KB905472_429,NZ_KB905472_430,NZ_KB905472_431,NZ_KB905472_432,NZ_KB905472_433,NZ_KB905472_434,NZ_KB905472_435,NZ_KB905472_436,NZ_KB905472_437
AE015928,AE015928.1,559085,572833,4.4703,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AP006841,AP006841.1,2022214,2041771,11.7183,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
CP000139,CP000139.1,5078306,5103985,26.3405,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
CR626927,CR626927.1,2100109,2119669,11.7187,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
FQ312004,FQ312004.1,2027222,2046779,11.7200,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
LR131278,LR131278.1,21526,35924,10.7886,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
LR131278,LR131278.1,12020,15542,6.1796,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
LR131279,LR131279.1,30408,41664,11.6623,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LR131281,LR131281.1,18133,29389,11.6605,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LR131286,LR131286.1,1883,32897,37.9416,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
NC_003228,NC_003228.3,2100109,2119669,11.7187,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
NC_004663,NC_004663.1,559085,572833,4.4703,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
NC_006347,NC_006347.1,2022214,2041771,11.7183,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
NC_009614,NC_009614.1,5078306,5103985,26.3405,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
NC_016776,NC_016776.1,2027222,2046779,11.7200,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
NZ_CP046176,NZ_CP046176.1,3701355,3722065,19.1478,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
NZ_CP046176,NZ_CP046176.1,3691428,3695367,6.1692,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
NZ_CP113514,NZ_CP113514.1,2348040,2352525,5.2167,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_DS995531,NZ_DS995531.1,444160,464870,19.1478,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
NZ_DS995531,NZ_DS995531.1,470858,474797,6.1692,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
NZ_KB905472,NZ_KB905472.1,537605,569121,41.0227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
