Organism,Scaffold,Start,End,Score,NZ_DS990126_41,NZ_DS990126_42,NZ_DS990126_43,NZ_DS990126_44,NZ_DS990126_45,NZ_DS990126_46,NZ_DS990126_47,NZ_DS990126_48,NZ_DS990126_49,NZ_DS990126_50,NZ_DS990126_51,NZ_DS990126_52,NZ_DS990126_53,NZ_DS990126_54,NZ_DS990126_55,NZ_DS990126_56,NZ_DS990126_57,NZ_DS990126_58,NZ_DS990126_59,NZ_DS990126_60
AE015928,AE015928.1,3895715,3902515,4.2327,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
AE015928,AE015928.1,4884623,4888975,4.1798,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP006841,AP006841.1,5248069,5256183,4.2313,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
CP000139,CP000139.1,1443444,1453384,6.3470,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
CP065889,CP065889.1,705140,709464,7.2441,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP065889,CP065889.1,163364,174295,5.2806,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
CR626927,CR626927.1,5175929,5184043,4.2313,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
FP929033,FP929033.1,5877047,5881480,4.1811,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FQ312004,FQ312004.1,5343916,5352030,4.2313,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
JH724241,JH724241.1,1814473,1818830,4.1817,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LR131284,LR131284.1,14285,44510,40.8768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LT622246,LT622246.1,2313582,2317938,4.1810,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_016610,NC_016610.1,241648,244773,5.1641,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_ABJL02000007,NZ_ABJL02000007.1,109593,118568,4.2334,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
NZ_CP046176,NZ_CP046176.1,5354729,5364669,12.4000,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
NZ_CP113514,NZ_CP113514.1,390630,394987,4.1817,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_DS990126,NZ_DS990126.1,54123,84343,40.8946,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_DS995511,NZ_DS995511.1,366710,374287,4.2319,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
NZ_DS995511,NZ_DS995511.1,890214,895467,4.1839,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_GL882595,NZ_GL882595.1,218819,226701,4.2333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
