genome	pulid	contigid	start	end	pattern
AP006841	PUL1	AP006841.1	296774	303715	GH27-susD-susC
AP006841	PUL2	AP006841.1	365867	394904	GH43_26-GH3-GH76-GH2_19-GH127-GH127-GH43_26-GH2_18-unk-unk-GH38-susC-susD-unk-unk-GH43_3
AP006841	PUL3	AP006841.1	437158	468505	susC-GH154-GH2_2-GH20-unk-GH88-PL33-susD-susC-unk-unk-unk-GH144-GH3-susD-susC
AP006841	PUL4	AP006841.1	473895	478470	susC-susD
AP006841	PUL5	AP006841.1	503369	522755	GH171-unk-unk-unk-GT2_Glycos_transf_2-unk-unk-unk-GH171-susD-susC
AP006841	PUL6	AP006841.1	623125	636803	GT51-unk-unk-GH36-GH31_16-susD-susC
AP006841	PUL7	AP006841.1	655735	660912	susC-susD
AP006841	PUL8	AP006841.1	681929	692491	susC-susD-unk-GH115
AP006841	PUL9	AP006841.1	724197	748583	susC-unk-unk-unk-unk-GH95-susC-susD-GH2_6-GH35-CBM91;GH43_10-unk-unk-susC
AP006841	PUL10	AP006841.1	776176	780965	susD-susC
AP006841	PUL11	AP006841.1	783212	787563	susC-susD
AP006841	PUL12	AP006841.1	783212	787563	susC-susD
AP006841	PUL13	AP006841.1	788104	792457	susC-susD
AP006841	PUL14	AP006841.1	860651	877618	susC-susD-CBM32-GH29-GH2_10-unk-unk-unk-GH20
AP006841	PUL15	AP006841.1	889887	903835	susD-susC-GH92-GH92-unk-unk-GH92
AP006841	PUL16	AP006841.1	982338	1007192	GH3-susC-susD-unk-unk-CBM6-GH26-GH5_7-GH3-unk-unk-unk-unk-GH26-GH130_1
AP006841	PUL17	AP006841.1	1045364	1061175	GH29-unk-susD-susC-unk-unk-GH29
AP006841	PUL18	AP006841.1	1113668	1145506	GH95-GH2_20-unk-unk-unk-GH3-unk-unk-susD-susC-susD-susC-susD-susC
AP006841	PUL19	AP006841.1	1148335	1153521	susC-susD
AP006841	PUL20	AP006841.1	1170598	1175844	susD-susC
AP006841	PUL21	AP006841.1	1267734	1281953	susC-susD-unk-unk-unk-unk-susC-susD
AP006841	PUL22	AP006841.1	1487577	1492498	susC-susD
AP006841	PUL23	AP006841.1	1562056	1576836	GH97-unk-unk-susC-susD-unk-unk-unk-unk-GH130_2
AP006841	PUL24	AP006841.1	1725348	1732573	susC-susD-unk-GH27
AP006841	PUL25	AP006841.1	1867997	1872825	susC-susD
AP006841	PUL26	AP006841.1	1982867	1994312	susC-susD-unk-susC-unk-susC-susD
AP006841	PUL27	AP006841.1	1998161	2015983	susC-susD-GH29-unk-unk-unk-susC-susD-unk-susC
AP006841	PUL28	AP006841.1	2016734	2049211	susC-susD-unk-CBM93;GH33-GH20-unk-CE20-GH2_13-GH20-unk-GH20-GH92-GH2_1-susC-susD-unk-GH2_20
AP006841	PUL29	AP006841.1	2059818	2072716	susC-susD-GH92-unk-unk-GH63-GH125
AP006841	PUL30	AP006841.1	2258811	2265991	susC-susC-susD
AP006841	PUL31	AP006841.1	2485585	2494846	GH20-unk-susC-susD
AP006841	PUL32	AP006841.1	2585584	2590954	susD-susC
AP006841	PUL33	AP006841.1	3460291	3477989	GH51_8;GH120-GH3-unk-unk-unk-unk-susC-susD-susC
AP006841	PUL34	AP006841.1	3500462	3514415	GH25-GH181-unk-unk-unk-unk-susD-susC
AP006841	PUL35	AP006841.1	3608179	3612804	susC-susD
AP006841	PUL36	AP006841.1	3678099	3712612	GH29-GH2_10-GH20-unk-unk-GH20-unk-unk-unk-GH141-unk-unk-GH20-susD-susC-unk-unk-GH13_14
AP006841	PUL37	AP006841.1	3848262	3863352	susC-susD-GH29-unk-unk-unk-CBM32;GH2_10
AP006841	PUL38	AP006841.1	3923974	3932211	susC-unk-susD-susC
AP006841	PUL39	AP006841.1	3987348	4000643	GH97-CE20-GH142-GH137-susD-susC-GH76
AP006841	PUL40	AP006841.1	4119607	4124525	susC-susD
AP006841	PUL41	AP006841.1	4299168	4304420	susD-susC
AP006841	PUL42	AP006841.1	4307089	4312168	susD-susC
AP006841	PUL43	AP006841.1	4314332	4319700	susD-susC
AP006841	PUL44	AP006841.1	4483705	4491350	GH33-unk-susD-susC
AP006841	PUL45	AP006841.1	4503591	4508589	susD-susC
AP006841	PUL46	AP006841.1	4532377	4537459	susC-susD
AP006841	PUL47	AP006841.1	4836372	4852676	CBM93;GH33-unk-unk-unk-unk-susC-susD-GH16_3-GH20-GH16_3
AP006841	PUL48	AP006841.1	4853821	4860544	GH35-susC-susD
AP006841	PUL49	AP006841.1	4927484	4932433	susC-susD
AP006841	PUL50	AP006841.1	4972265	4980943	CE1-GH43_28;CBM32-GH144-susD-susC
AP006841	PUL51	AP006841.1	4981690	5002126	GH3-unk-unk-unk-GH127-unk-unk-susD-susC
AP006841	PUL52	AP006841.1	5091535	5096763	susC-susD
AP006841	PUL53	AP006841.1	5091535	5096763	susC-susD
AP006841	PUL54	AP006841.1	5097822	5112839	susC-susD-unk-GH110-unk-unk-unk-GH95
AP006841	PUL55	AP006841.1	5113983	5119222	susC-susD
AP006841	PUL56	AP006841.1	5132575	5138058	susD-susC
AP006841	PUL57	AP006841.1	5200877	5207529	susD-susC-GH172
