Organism,Scaffold,Start,End,Score,NZ_AAYG02000020_150,NZ_AAYG02000020_151,NZ_AAYG02000020_152,NZ_AAYG02000020_153,NZ_AAYG02000020_154,NZ_AAYG02000020_155,NZ_AAYG02000020_156,NZ_AAYG02000020_157,NZ_AAYG02000020_158,NZ_AAYG02000020_159,NZ_AAYG02000020_160,NZ_AAYG02000020_161,NZ_AAYG02000020_162,NZ_AAYG02000020_163
NZ_AAYG02000020,NZ_AAYG02000020.1,134625,149292,27.8908,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP022413,NZ_CP022413.2,36522,41973,4.1387,0,0,0,1,0,1,1,0,0,0,0,0,0,0
NZ_CP084061,NZ_CP084061.1,2513953,2520545,10.3332,0,0,0,0,0,1,1,1,1,1,0,1,0,0
