Organism,Scaffold,Start,End,Score,AE015928_4787,AE015928_4788,AE015928_4789,AE015928_4790,AE015928_4791,AE015928_4792,AE015928_4793,AE015928_4794,AE015928_4795,AE015928_4796,AE015928_4797,AE015928_4798,AE015928_4799,AE015928_4800,AE015928_4801,AE015928_4802,AE015928_4803,AE015928_4804,AE015928_4805,AE015928_4806,AE015928_4807,AE015928_4808,AE015928_4809,AE015928_4810,AE015928_4811
AAXF02000054,AAXF02000054.1,956613,973429,17.9842,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAXF02000054,AAXF02000054.1,978557,993419,9.5972,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
AAXF02000054,AAXF02000054.1,1003916,1009442,5.2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ABJL02000008,ABJL02000008.1,2105881,2109919,5.2053,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
AE015928,AE015928.1,6085859,6132647,51.9028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AP006841,AP006841.1,1474197,1478238,5.2178,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
CP012801,CP012801.1,6019730,6023773,5.2094,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
CP012801,CP012801.1,1982450,1987958,4.2582,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP129143,CP129143.1,4347536,4351559,5.2138,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
CR626927,CR626927.1,1450595,1454636,5.2164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
DS264584,DS264584.1,956613,973429,17.9842,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS264584,DS264584.1,978557,993419,9.5972,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DS264584,DS264584.1,1003916,1009442,5.2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
FP929033,FP929033.1,4690732,4707804,17.9711,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
