Organism,Scaffold,Start,End,Score,NC_015067_214,NC_015067_215,NC_015067_216,NC_015067_217,NC_015067_218,NC_015067_219,NC_015067_220
AE014295,AE014295.3,1354873,1372084,13.9921,1,1,1,1,1,1,1
CP016019,CP016019.1,257743,275119,14.0045,1,1,1,1,1,1,1
CP137763,CP137763.1,280317,297692,14.0063,1,1,1,1,1,1,1
NC_015067,NC_015067.1,266860,284077,14.0105,1,1,1,1,1,1,1
NZ_AP012330,NZ_AP012330.1,163873,170871,9.3477,1,1,1,1,1,0,0
NZ_AP022379,NZ_AP022379.1,253173,270382,13.9949,1,1,1,1,1,1,1
NZ_CP079235,NZ_CP079235.1,160846,167828,9.3476,1,1,1,1,1,0,0
NZ_PJEE01000001,NZ_PJEE01000001.1,239702,257069,13.9969,1,1,1,1,1,1,1
