query_accession	query_start	query_end	tax_id	subject_accession	subject_start	subject_end	evalue	pident	alignment_length
LR131285	1	33350	77133	LR594814	9245	42594	0.0	100.0	42594
LT674126	1	31940	77133	LT674128	1	31938	0.0	99.98747691055384	44062
LR131279	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
NZ_GL882612	NA	NA	626930	NO_HIT	NA	NA	NA	NA	NA
AB063629	NA	NA	43662	NO_HIT	NA	NA	NA	NA	NA
NZ_AAXF02000038	1	93223	None	LT622246	5466649	5559869	0.0	99.99141861088764	6475296
LT674123	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
LT674125	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
LR131286	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
AY870655	NA	NA	555	NO_HIT	NA	NA	NA	NA	NA
LT674132	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
HF548280	NA	NA	433724	NO_HIT	NA	NA	NA	NA	NA
LR131274	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
JAATOH010000049	NA	NA	47770	NO_HIT	NA	NA	NA	NA	NA
Z49241	1	2500	77095	CP091797	107960	110457	0.0	99.24	1104623
NZ_JDUC01000011	1	83068	216816	CP090790	1299643	1382711	0.0	99.99879618148768	2417164
DQ868502	NA	NA	1422	NO_HIT	NA	NA	NA	NA	NA
NZ_AAXF02000029	1	59901	None	LT622246	402266	462167	0.0	99.99332253810327	6475296
Z25795	1	8517	1423	CP195112	3211014	3219530	0.0	100.0	4266306
KM624528	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
AB110645	1	9678	1952	CP109280	2335394	2345074	0.0	99.8244164428837	6066002
AY297960	NA	NA	571	NO_HIT	NA	NA	NA	NA	NA
LT674124	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
JABKKE010000021	NA	NA	2736291	NO_HIT	NA	NA	NA	NA	NA
MSTB01000008	1	68569	47715	CP017063	273392	341979	0.0	99.95480324833429	2972590
X78853	1	3536	1288	CP066726	1453770	1457306	0.0	99.77381962114787	2900259
NZ_ABQJ01000017	1	45052	1352	CP003351	869484	914535	0.0	99.99112137086034	2952485
L18965	NA	NA	28238	NO_HIT	NA	NA	NA	NA	NA
NZ_GG692727	NA	NA	166486	NO_HIT	NA	NA	NA	NA	NA
JABDHV010000033	NA	NA	239935	NO_HIT	NA	NA	NA	NA	NA
AB011415	NA	NA	28214	NO_HIT	NA	NA	NA	NA	NA
DS362223	1	92631	820	CP129143	1570750	1663378	0.0	99.99784089559651	4709701
NZ_CAWH010000143	NA	NA	1351	NO_HIT	NA	NA	NA	NA	NA
LR131284	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
LT674129	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
JAHNZS010000043	NA	NA	1590	NO_HIT	NA	NA	NA	NA	NA
AB728624	1	5103	615	CP193986	3503811	3508913	0.0	99.66686262982559	5083761
AH007017	NA	NA	43657	NO_HIT	NA	NA	NA	NA	NA
NZ_AAXF02000036	1	85867	None	LT622246	6248442	6334305	0.0	99.99301253086132	6475296
JX087428	NA	NA	44256	NO_HIT	NA	NA	NA	NA	NA
NZ_AAXF02000026	1	29967	None	LT622246	1470697	1500663	0.0	99.98665287463713	6475296
AY526725	NA	NA	39650	NO_HIT	NA	NA	NA	NA	NA
M57692	NA	NA	33950	NO_HIT	NA	NA	NA	NA	NA
NZ_CAJQES010000017	NA	NA	320912	NO_HIT	NA	NA	NA	NA	NA
LR131282	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
HE717017	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
AF441242	1	5894	28025	CP180380	152416	158319	0.0	99.72904318374259	1944188
NZ_MYFN02000025	NA	NA	1967501	NO_HIT	NA	NA	NA	NA	NA
U07818	NA	NA	1422	NO_HIT	NA	NA	NA	NA	NA
AF027499	1	5591	354	CP092752	1032162	1037752	0.0	99.96422822393131	5617899
JX424628	NA	NA	1231731	NO_HIT	NA	NA	NA	NA	NA
EU599184	1	9400	158899	CP002745	3093720	3103119	0.0	100.0	5186898
JX424627	NA	NA	1231730	NO_HIT	NA	NA	NA	NA	NA
AF417111	NA	NA	305	NO_HIT	NA	NA	NA	NA	NA
JQ844187	NA	NA	1181542	NO_HIT	NA	NA	NA	NA	NA
LN890332	NA	NA	1244	NO_HIT	NA	NA	NA	NA	NA
AF508972	1	5842	1718	CP004047	3043491	3049332	0.0	99.41800753166724	3350620
AB669415	NA	NA	1081041	NO_HIT	NA	NA	NA	NA	NA
NZ_ABQA01000009	699	24778	1352	CP111455	107304	131383	0.0	99.8795731074291	247149
AF316823	1	11489	1521	CP001348	852611	864108	0.0	99.76523780540822	4068724
AF135399	NA	NA	274	NO_HIT	NA	NA	NA	NA	NA
NZGN01000053	NA	NA	2024839	NO_HIT	NA	NA	NA	NA	NA
NZ_AAXF02000024	1	20168	None	LT622246	6226077	6246239	0.0	99.94050570153694	6475296
LT674130	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
LR131283	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
MSTC01000055	3	3780	47715	CP044228	414444	418221	0.0	99.41768131286395	3022021
HE717008	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
MSTC01000081	1	6251	47715	CP067366	4842	11096	0.0	99.92006394884093	63181
X81461	1	8555	562	CP098927	3319515	3328070	0.0	99.87143525011687	5310763
JABUTP010000015	NA	NA	2212467	NO_HIT	NA	NA	NA	NA	NA
NZ_PJEG01000006	NA	NA	216816	NO_HIT	NA	NA	NA	NA	NA
LT674122	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
NZ_PJEF01000016	NA	NA	216816	NO_HIT	NA	NA	NA	NA	NA
