Organism,Scaffold,Start,End,Score,NZ_CAJQES010000017_7,NZ_CAJQES010000017_8,NZ_CAJQES010000017_9,NZ_CAJQES010000017_10,NZ_CAJQES010000017_11,NZ_CAJQES010000017_12,NZ_CAJQES010000017_13,NZ_CAJQES010000017_14,NZ_CAJQES010000017_15,NZ_CAJQES010000017_16
NC_014934,NC_014934.1,4806230,4815133,4.2766,0,0,1,1,0,0,0,1,0,0
NZ_CAJQES010000017,NZ_CAJQES010000017.1,10691,25936,19.8740,1,1,1,1,1,1,1,1,1,1
NZ_CP009976,NZ_CP009976.1,4044746,4053296,6.3650,0,0,1,1,1,0,0,1,0,0
