Organism,Scaffold,Start,End,Score,AY297960_2,AY297960_3
AE005176,AE005176.1,1543237,1546414,3.1806,1,1
AP012281,AP012281.1,1563592,1566781,3.1814,1,1
CP001834,CP001834.1,1685851,1689040,3.1809,1,1
