Organism,Scaffold,Start,End,Score,CR626927_758,CR626927_759,CR626927_760,CR626927_761,CR626927_762,CR626927_763,CR626927_764,CR626927_765,CR626927_766,CR626927_767,CR626927_768,CR626927_769,CR626927_770,CR626927_771,CR626927_772,CR626927_773,CR626927_774,CR626927_775,CR626927_776
AAXF02000051,AAXF02000051.1,455246,461738,4.2555,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
AAXF02000054,AAXF02000054.1,280903,295956,8.5691,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
ABJL02000008,ABJL02000008.1,2840832,2845664,5.2603,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE015928,AE015928.1,5353084,5368771,8.5743,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
AE015928,AE015928.1,4932049,4938573,4.2548,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
AP006841,AP006841.1,1033852,1068361,39.1458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP000139,CP000139.1,1390967,1397447,4.2428,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
CP012801,CP012801.1,5194560,5199807,5.2581,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP129143,CP129143.1,2131086,2135871,5.2631,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR626927,CR626927.1,973098,1007603,39.1564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS264584,DS264584.1,280903,295956,8.5691,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
FP929033,FP929033.1,3970821,3985866,8.5680,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
FQ312004,FQ312004.1,1026492,1061001,39.1549,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JH724241,JH724241.1,2320825,2335884,8.5692,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
LT622246,LT622246.1,2900192,2915172,8.5628,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
LT622246,LT622246.1,2369481,2375991,4.2555,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
NC_003228,NC_003228.3,973098,1007603,39.1590,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NC_004663,NC_004663.1,5353084,5368801,8.5749,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
NC_004663,NC_004663.1,4932049,4938573,4.2548,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
NC_006347,NC_006347.1,1033852,1068361,39.1548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NC_009614,NC_009614.1,1390967,1397447,4.2428,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
NC_016776,NC_016776.1,1026492,1061001,39.1562,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_ABJL02000008,NZ_ABJL02000008.1,2840886,2845664,5.2603,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,5605702,5620755,8.5691,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
NZ_CP012938,NZ_CP012938.1,5075429,5081885,4.2555,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
NZ_CP113514,NZ_CP113514.1,964878,979757,8.5663,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
NZ_DS264584,NZ_DS264584.1,280903,295956,8.5691,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
