Organism,Scaffold,Start,End,Score,AOMX01000002_898,AOMX01000002_899,AOMX01000002_900,AOMX01000002_901,AOMX01000002_902,AOMX01000002_903,AOMX01000002_904
AE006468,AE006468.2,3500614,3509945,13.3456,1,1,1,1,1,1,1
AOMX01000002,AOMX01000002.1,934680,941265,13.4019,1,1,1,1,1,1,1
AP031375,AP031375.1,497796,504450,13.3937,1,1,1,1,1,1,1
CP014225,CP014225.1,1565026,1571689,13.3939,1,1,1,1,1,1,1
CP025268,CP025268.1,3368511,3375174,13.3939,1,1,1,1,1,1,1
CP098927,CP098927.1,4483198,4489861,13.3959,1,1,1,1,1,1,1
HG738867,HG738867.1,3408130,3414793,13.3939,1,1,1,1,1,1,1
NC_007946,NC_007946.1,3580361,3585837,11.3267,0,1,1,1,1,1,1
NZ_CP027060,NZ_CP027060.1,999723,1006386,13.3939,1,1,1,1,1,1,1
NZ_JAEFCJ010000001,NZ_JAEFCJ010000001.1,519646,525122,11.3264,0,1,1,1,1,1,1
U00096,U00096.3,3367826,3374489,13.3939,1,1,1,1,1,1,1
