Organism,Scaffold,Start,End,Score,NZ_CP020030_1900,NZ_CP020030_1901,NZ_CP020030_1902,NZ_CP020030_1903,NZ_CP020030_1904,NZ_CP020030_1905,NZ_CP020030_1906,NZ_CP020030_1907,NZ_CP020030_1908,NZ_CP020030_1909,NZ_CP020030_1910,NZ_CP020030_1911,NZ_CP020030_1912,NZ_CP020030_1913,NZ_CP020030_1914,NZ_CP020030_1915,NZ_CP020030_1916,NZ_CP020030_1917,NZ_CP020030_1918,NZ_CP020030_1919,NZ_CP020030_1920,NZ_CP020030_1921,NZ_CP020030_1922,NZ_CP020030_1923,NZ_CP020030_1924,NZ_CP020030_1925,NZ_CP020030_1926,NZ_CP020030_1927,NZ_CP020030_1928,NZ_CP020030_1929,NZ_CP020030_1930,NZ_CP020030_1931,NZ_CP020030_1932,NZ_CP020030_1933,NZ_CP020030_1934,NZ_CP020030_1935,NZ_CP020030_1936,NZ_CP020030_1937,NZ_CP020030_1938,NZ_CP020030_1939,NZ_CP020030_1940,NZ_CP020030_1941
BA000043,BA000043.1,1940771,1950097,13.5442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
BA000043,BA000043.1,1905458,1907517,2.1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CP002835,CP002835.1,2164286,2196700,48.5573,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP008934,CP008934.1,3541651,3543710,2.1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CP128449,CP128449.1,1910830,1960724,70.5267,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP128458,CP128458.1,1942147,1988740,64.2994,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
DQ868502,DQ868502.2,30396,71889,46.6594,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
DQ868502,DQ868502.2,5918,18352,13.5463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
NC_016023,NC_016023.1,2556838,2560729,5.1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
NZ_CP020030,NZ_CP020030.1,1952524,2001314,76.8486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
