genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
FP476056	PUL1	FP476056.1_145	FP476056.1	160802	162280	-	0	FP476056.1_145	susD		
FP476056	PUL1	FP476056.1_146	FP476056.1	162292	165447	-	12	FP476056.1_146	susC		
FP476056	PUL2	FP476056.1_157	FP476056.1	175883	178912	+	10436	FP476056.1_157	susC		
FP476056	PUL2	FP476056.1_158	FP476056.1	178924	180411	+	12	FP476056.1_158	susD		
FP476056	PUL2	FP476056.1_159	FP476056.1	180535	183843	+	124	FP476056.1_159			
FP476056	PUL2	FP476056.1_160	FP476056.1	183900	184916	-	57	FP476056.1_160		GH43_1	
FP476056	PUL2	FP476056.1_161	FP476056.1	184943	186400	-	27	FP476056.1_161			
FP476056	PUL2	FP476056.1_162	FP476056.1	186407	187546	-	7	FP476056.1_162		GH10	
FP476056	PUL3	FP476056.1_180	FP476056.1	213322	215040	+	25776	FP476056.1_180		AA3	
FP476056	PUL3	FP476056.1_181	FP476056.1	215047	215766	+	7	FP476056.1_181			
FP476056	PUL3	FP476056.1_182	FP476056.1	215864	217075	-	98	FP476056.1_182		GH117	
FP476056	PUL3	FP476056.1_183	FP476056.1	217197	219137	-	122	FP476056.1_183			
FP476056	PUL3	FP476056.1_184	FP476056.1	219196	220449	-	59	FP476056.1_184			
FP476056	PUL3	FP476056.1_185	FP476056.1	220474	221274	-	25	FP476056.1_185			
FP476056	PUL3	FP476056.1_186	FP476056.1	221278	222123	-	4	FP476056.1_186			
FP476056	PUL3	FP476056.1_187	FP476056.1	222131	223282	-	8	FP476056.1_187		GH105	
FP476056	PUL3	FP476056.1_188	FP476056.1	223417	225111	-	135	FP476056.1_188	susD		
FP476056	PUL3	FP476056.1_189	FP476056.1	225122	228244	-	11	FP476056.1_189	susC		
FP476056	PUL3	FP476056.1_190	FP476056.1	228605	229540	-	361	FP476056.1_190			
FP476056	PUL3	FP476056.1_191	FP476056.1	229623	230822	+	83	FP476056.1_191			
FP476056	PUL3	FP476056.1_192	FP476056.1	230829	231515	+	7	FP476056.1_192			
FP476056	PUL3	FP476056.1_193	FP476056.1	231679	233847	+	164	FP476056.1_193		GH31_14	
FP476056	PUL3	FP476056.1_194	FP476056.1	233887	235503	+	40	FP476056.1_194		GH29	
FP476056	PUL3	FP476056.1_195	FP476056.1	235945	237531	-	442	FP476056.1_195	susD		
FP476056	PUL3	FP476056.1_196	FP476056.1	237537	240713	-	6	FP476056.1_196	susC		
FP476056	PUL4	FP476056.1_199	FP476056.1	244031	245296	-	3318	FP476056.1_199		GH117	
FP476056	PUL4	FP476056.1_200	FP476056.1	245329	247131	-	33	FP476056.1_200			
FP476056	PUL4	FP476056.1_201	FP476056.1	247342	248979	+	211	FP476056.1_201			
FP476056	PUL4	FP476056.1_202	FP476056.1	249036	250229	-	57	FP476056.1_202		GH5_4	
FP476056	PUL4	FP476056.1_203	FP476056.1	250450	252039	-	221	FP476056.1_203		CBM4	
FP476056	PUL4	FP476056.1_204	FP476056.1	252049	253074	-	10	FP476056.1_204			
FP476056	PUL4	FP476056.1_205	FP476056.1	253138	254865	-	64	FP476056.1_205	susD		
FP476056	PUL4	FP476056.1_206	FP476056.1	254885	257734	-	20	FP476056.1_206	susC		
FP476056	PUL4	FP476056.1_207	FP476056.1	257772	259580	-	38	FP476056.1_207	susD		
