Organism,Scaffold,Start,End,Score,AE015928_4365,AE015928_4366,AE015928_4367,AE015928_4368,AE015928_4369,AE015928_4370,AE015928_4371,AE015928_4372,AE015928_4373,AE015928_4374,AE015928_4375,AE015928_4376
AAXF02000054,AAXF02000054.1,550285,558064,9.4555,1,1,1,1,1,0,0,0,0,0,0,0
AE015928,AE015928.1,5582255,5601271,24.2089,1,1,1,1,1,1,1,1,1,1,1,1
AP006841,AP006841.1,1104872,1111737,7.3827,0,1,1,1,1,0,0,0,0,0,0,0
CR626927,CR626927.1,1044099,1050964,7.3826,0,1,1,1,1,0,0,0,0,0,0,0
DS264584,DS264584.1,550285,558064,9.4555,1,1,1,1,1,0,0,0,0,0,0,0
FP929033,FP929033.1,4199623,4207256,9.4564,1,1,1,1,1,0,0,0,0,0,0,0
FQ312004,FQ312004.1,1097490,1104355,7.3829,0,1,1,1,1,0,0,0,0,0,0,0
JH724241,JH724241.1,2588928,2596518,9.4568,1,1,1,1,1,0,0,0,0,0,0,0
LT622246,LT622246.1,3169502,3177281,9.4567,1,1,1,1,1,0,0,0,0,0,0,0
NC_003228,NC_003228.3,1044099,1050964,7.3827,0,1,1,1,1,0,0,0,0,0,0,0
NC_004663,NC_004663.1,5582255,5601271,24.2138,1,1,1,1,1,1,1,1,1,1,1,1
NC_006347,NC_006347.1,1104872,1111737,7.3827,0,1,1,1,1,0,0,0,0,0,0,0
NC_016776,NC_016776.1,1097490,1104355,7.3829,0,1,1,1,1,0,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,5875086,5882862,9.4565,1,1,1,1,1,0,0,0,0,0,0,0
NZ_CP113514,NZ_CP113514.1,1231877,1239467,9.4561,1,1,1,1,1,0,0,0,0,0,0,0
NZ_DS264584,NZ_DS264584.1,550285,558061,9.4565,1,1,1,1,1,0,0,0,0,0,0,0
