genome	pulid	contigid	start	end	pattern
CR626927	PUL1	CR626927.1	246933	262907	GH27-susD-susC-unk-unk-unk-GH36-unk-unk-unk-susC
CR626927	PUL2	CR626927.1	310550	341713	GH43_26-GH3-GH76-GH2_19-GH127-GH127-GH43_26-GH2_18-unk-susC-GH38-susC-susD-unk-unk-GH43_3
CR626927	PUL3	CR626927.1	383737	415084	susC-GH154-GH2_2-GH20-unk-GH88-PL33-susD-susC-unk-unk-unk-GH144-GH3-susD-susC
CR626927	PUL4	CR626927.1	420462	425037	susC-susD
CR626927	PUL5	CR626927.1	449941	469327	GH171-unk-unk-unk-GT2_Glycos_transf_2-unk-unk-unk-GH171-susD-susC
CR626927	PUL6	CR626927.1	570950	584628	GT51-unk-unk-GH36-GH31_16-susD-susC
CR626927	PUL7	CR626927.1	603565	608742	susC-susD
CR626927	PUL8	CR626927.1	629760	640322	susC-susD-unk-GH115
CR626927	PUL9	CR626927.1	672022	696408	susC-unk-unk-unk-unk-GH95-susC-susD-GH2_6-GH35-CBM91;GH43_10-unk-unk-susC
CR626927	PUL10	CR626927.1	704163	713599	susD-susC-unk-susD-susC
CR626927	PUL11	CR626927.1	715846	720413	susC-susD
CR626927	PUL12	CR626927.1	715846	720413	susC-susD
CR626927	PUL13	CR626927.1	720955	725308	susC-susD
CR626927	PUL14	CR626927.1	791520	814261	GH92-unk-unk-susC-susD-CBM32-GH29-GH2_10-unk-unk-unk-GH20
CR626927	PUL15	CR626927.1	826530	840478	susD-susC-GH92-GH92-unk-unk-GH92
CR626927	PUL16	CR626927.1	921576	946438	GH3-susC-susD-unk-unk-CBM6-GH26-GH5_7-GH3-unk-unk-unk-unk-GH26-GH130_1
CR626927	PUL17	CR626927.1	984610	1000417	GH29-unk-susD-susC-unk-unk-GH29
CR626927	PUL18	CR626927.1	1052070	1084734	GH95-GH2_20-unk-unk-unk-GH3-unk-unk-susD-susC-susD-susC-susD-susC
CR626927	PUL19	CR626927.1	1087563	1092749	susC-susD
CR626927	PUL20	CR626927.1	1109826	1115135	susD-susC
CR626927	PUL21	CR626927.1	1116065	1121387	susD-susC
CR626927	PUL22	CR626927.1	1213169	1227388	susC-susD-unk-unk-unk-unk-susC-susD
CR626927	PUL23	CR626927.1	1463976	1468897	susC-susD
CR626927	PUL24	CR626927.1	1566059	1580839	GH97-unk-unk-susC-susD-unk-unk-unk-unk-GH130_2
CR626927	PUL25	CR626927.1	1679751	1686976	susC-susD-unk-GH27
CR626927	PUL26	CR626927.1	1768167	1774855	GH30_4-susD-susC
CR626927	PUL27	CR626927.1	1886174	1891002	susC-susD
CR626927	PUL28	CR626927.1	1999994	2015546	susC-unk-susD-unk-susC-unk-susD-susC
CR626927	PUL29	CR626927.1	2078757	2085104	GH29-susD-susC
CR626927	PUL30	CR626927.1	2088953	2093867	susD-susC
CR626927	PUL31	CR626927.1	2094629	2124156	susC-susD-unk-CBM93;GH33-GH20-unk-CE20-GH2_13-GH20-unk-GH20-GH92-GH2_1-susC-susD
CR626927	PUL32	CR626927.1	2328564	2335744	susC-susC-susD
CR626927	PUL33	CR626927.1	2552830	2562091	GH20-unk-susC-susD
CR626927	PUL34	CR626927.1	2652830	2658200	susD-susC
CR626927	PUL35	CR626927.1	3361696	3379502	GH51_8;GH120-GH3-unk-unk-unk-unk-GH3-susD-susC
CR626927	PUL36	CR626927.1	3405942	3419997	GH25-GH181-unk-unk-unk-unk-susD-susC
CR626927	PUL37	CR626927.1	3515822	3520447	susC-susD
CR626927	PUL38	CR626927.1	3585777	3620277	GH29-GH2_10-GH20-unk-unk-GH20-unk-unk-unk-GH141-unk-unk-GH20-susD-susC-unk-unk-GH13_14
CR626927	PUL39	CR626927.1	3754969	3770059	susC-susD-GH29-unk-unk-unk-CBM32;GH2_10
CR626927	PUL40	CR626927.1	3830796	3839033	susC-unk-susD-susC
CR626927	PUL41	CR626927.1	3891110	3904405	GH97-CE20-GH142-GH130_3-susD-susC-GH76
CR626927	PUL42	CR626927.1	4024110	4029028	susC-susD
CR626927	PUL43	CR626927.1	4066003	4070515	susC-susD
CR626927	PUL44	CR626927.1	4205105	4210357	susD-susC
CR626927	PUL45	CR626927.1	4213025	4218104	susD-susC
CR626927	PUL46	CR626927.1	4220268	4225636	susD-susC
CR626927	PUL47	CR626927.1	4370599	4378244	GH33-unk-susD-susC
CR626927	PUL48	CR626927.1	4390485	4395483	susD-susC
CR626927	PUL49	CR626927.1	4419207	4424289	susC-susD
CR626927	PUL50	CR626927.1	4762106	4778410	CBM93;GH33-unk-unk-unk-unk-susC-susD-GH16_3-GH20-GH16_3
CR626927	PUL51	CR626927.1	4779554	4786274	GH35-susC-susD
CR626927	PUL52	CR626927.1	4860954	4865903	susC-susD
CR626927	PUL53	CR626927.1	4905725	4935583	CE1-GH43_28;CBM32-GH144-susD-susC-unk-GH3-unk-unk-unk-GH127-unk-unk-susD-susC
CR626927	PUL54	CR626927.1	5024377	5029668	susC-susD
CR626927	PUL55	CR626927.1	5030726	5045743	susC-susD-unk-GH110-unk-unk-unk-GH95
CR626927	PUL56	CR626927.1	5046824	5052126	susC-susD
CR626927	PUL57	CR626927.1	5065479	5070962	susD-susC-susC
CR626927	PUL58	CR626927.1	5133779	5149653	susD-susC-GH172-unk-unk-GH32-susC
