Organism,Scaffold,Start,End,Score,NZ_JQNQ01000001_1977,NZ_JQNQ01000001_1978,NZ_JQNQ01000001_1979,NZ_JQNQ01000001_1980,NZ_JQNQ01000001_1981,NZ_JQNQ01000001_1982,NZ_JQNQ01000001_1983,NZ_JQNQ01000001_1984,NZ_JQNQ01000001_1985,NZ_JQNQ01000001_1986,NZ_JQNQ01000001_1987,NZ_JQNQ01000001_1988,NZ_JQNQ01000001_1989,NZ_JQNQ01000001_1990,NZ_JQNQ01000001_1991,NZ_JQNQ01000001_1992,NZ_JQNQ01000001_1993,NZ_JQNQ01000001_1994,NZ_JQNQ01000001_1995
NZ_JHZY01000004,NZ_JHZY01000004.1,1698875,1704143,4.2192,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
NZ_JPOL01000002,NZ_JPOL01000002.1,3222508,3227743,4.2063,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
NZ_JQNQ01000001,NZ_JQNQ01000001.1,2251020,2278840,36.7703,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
