Organism,Scaffold,Start,End,Score,NC_015977_2196,NC_015977_2197,NC_015977_2198,NC_015977_2199,NC_015977_2200,NC_015977_2201,NC_015977_2202,NC_015977_2203,NC_015977_2204,NC_015977_2205,NC_015977_2206,NC_015977_2207,NC_015977_2208,NC_015977_2209
CP173697,CP173697.1,3064697,3070017,9.2868,0,0,0,0,1,1,1,1,1,0,0,0,0,0
NC_015977,NC_015977.1,2480615,2500030,28.2370,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_GG692714,NZ_GG692714.1,161452,174813,12.5185,0,0,0,0,1,1,1,1,1,0,0,0,1,1
NZ_LR027880,NZ_LR027880.1,1163479,1181578,13.6577,0,1,0,0,1,1,1,1,1,0,0,0,1,1
