genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
JH724241	PUL1	JH724241.1_141	JH724241.1	149113	151110	-	0	JH724241.1_141		GH97	
JH724241	PUL1	JH724241.1_142	JH724241.1	151122	153320	-	12	JH724241.1_142		GH92	
JH724241	PUL1	JH724241.1_143	JH724241.1	153346	155568	-	26	JH724241.1_143		GH3	
JH724241	PUL1	JH724241.1_144	JH724241.1	155575	157014	-	7	JH724241.1_144		CE20	
JH724241	PUL1	JH724241.1_145	JH724241.1	157016	159571	-	2	JH724241.1_145			
JH724241	PUL1	JH724241.1_146	JH724241.1	159595	161025	-	24	JH724241.1_146			
JH724241	PUL1	JH724241.1_147	JH724241.1	161058	162362	-	33	JH724241.1_147			
JH724241	PUL1	JH724241.1_148	JH724241.1	162427	164142	-	65	JH724241.1_148	susD		
JH724241	PUL1	JH724241.1_149	JH724241.1	164160	167234	-	18	JH724241.1_149	susC		
JH724241	PUL2	JH724241.1_160	JH724241.1	181287	183164	-	14053	JH724241.1_160		GH93	
JH724241	PUL2	JH724241.1_161	JH724241.1	183201	184277	-	37	JH724241.1_161		GH5_13	
JH724241	PUL2	JH724241.1_162	JH724241.1	184301	185779	-	24	JH724241.1_162	susD		
JH724241	PUL2	JH724241.1_163	JH724241.1	185800	189015	-	21	JH724241.1_163	susC		
JH724241	PUL3	JH724241.1_170	JH724241.1	195386	197569	-	6371	JH724241.1_170		GH89	
JH724241	PUL3	JH724241.1_171	JH724241.1	197576	198661	-	7	JH724241.1_171			
JH724241	PUL3	JH724241.1_172	JH724241.1	198676	199932	-	15	JH724241.1_172			
JH724241	PUL3	JH724241.1_173	JH724241.1	199939	201081	-	7	JH724241.1_173			
JH724241	PUL3	JH724241.1_174	JH724241.1	201090	203246	-	9	JH724241.1_174		GH89	
JH724241	PUL3	JH724241.1_175	JH724241.1	203275	204066	-	29	JH724241.1_175			
JH724241	PUL3	JH724241.1_176	JH724241.1	204086	205819	-	20	JH724241.1_176	susD		
JH724241	PUL3	JH724241.1_177	JH724241.1	205840	209259	-	21	JH724241.1_177	susC		
JH724241	PUL4	JH724241.1_182	JH724241.1	212263	215196	+	3004	JH724241.1_182	susC		
JH724241	PUL4	JH724241.1_183	JH724241.1	215211	216740	+	15	JH724241.1_183	susD		
JH724241	PUL4	JH724241.1_184	JH724241.1	216800	218764	+	60	JH724241.1_184			
JH724241	PUL4	JH724241.1_185	JH724241.1	218777	220384	+	13	JH724241.1_185			
JH724241	PUL4	JH724241.1_186	JH724241.1	220391	221938	+	7	JH724241.1_186			
JH724241	PUL4	JH724241.1_187	JH724241.1	221951	223549	+	13	JH724241.1_187		CE1	
JH724241	PUL4	JH724241.1_188	JH724241.1	223551	225071	+	2	JH724241.1_188		CE1	
JH724241	PUL4	JH724241.1_189	JH724241.1	225090	226097	+	19	JH724241.1_189			
JH724241	PUL4	JH724241.1_190	JH724241.1	226121	227098	+	24	JH724241.1_190			
JH724241	PUL4	JH724241.1_191	JH724241.1	227179	229005	-	81	JH724241.1_191			
JH724241	PUL4	JH724241.1_192	JH724241.1	229177	230151	-	172	JH724241.1_192		GH18	
JH724241	PUL4	JH724241.1_193	JH724241.1	230221	231894	-	70	JH724241.1_193			
JH724241	PUL4	JH724241.1_194	JH724241.1	231918	233552	-	24	JH724241.1_194	susD		
JH724241	PUL4	JH724241.1_195	JH724241.1	233573	236533	-	21	JH724241.1_195	susC		
JH724241	PUL5	JH724241.1_221	JH724241.1	274406	276202	-	37873	JH724241.1_221		GH2_4	
JH724241	PUL5	JH724241.1_222	JH724241.1	276309	277607	-	107	JH724241.1_222		CE7	
JH724241	PUL5	JH724241.1_223	JH724241.1	277865	279931	-	258	JH724241.1_223			
JH724241	PUL5	JH724241.1_224	JH724241.1	279939	281807	-	8	JH724241.1_224			
JH724241	PUL5	JH724241.1_225	JH724241.1	281861	282973	-	54	JH724241.1_225		GH105	
JH724241	PUL5	JH724241.1_226	JH724241.1	283003	285456	-	30	JH724241.1_226		GH3	
JH724241	PUL5	JH724241.1_227	JH724241.1	285535	287742	-	79	JH724241.1_227		GH3	
JH724241	PUL5	JH724241.1_228	JH724241.1	287793	289442	-	51	JH724241.1_228			
JH724241	PUL5	JH724241.1_229	JH724241.1	289454	291016	-	12	JH724241.1_229			
JH724241	PUL5	JH724241.1_230	JH724241.1	291116	292756	-	100	JH724241.1_230			
JH724241	PUL5	JH724241.1_231	JH724241.1	292789	294735	-	33	JH724241.1_231	susD		
JH724241	PUL5	JH724241.1_232	JH724241.1	294747	298136	-	12	JH724241.1_232	susC		
JH724241	PUL6	JH724241.1_246	JH724241.1	313562	315595	-	15426	JH724241.1_246		GH182	
JH724241	PUL6	JH724241.1_247	JH724241.1	315770	316873	-	175	JH724241.1_247		GH105	
JH724241	PUL6	JH724241.1_248	JH724241.1	316885	319815	-	12	JH724241.1_248		GH2_17	
JH724241	PUL6	JH724241.1_249	JH724241.1	319830	320975	-	15	JH724241.1_249		GH130_3	
JH724241	PUL6	JH724241.1_250	JH724241.1	321074	323785	-	99	JH724241.1_250		GH2_17	
JH724241	PUL6	JH724241.1_251	JH724241.1	324117	325844	-	332	JH724241.1_251			
JH724241	PUL6	JH724241.1_252	JH724241.1	325895	327772	-	51	JH724241.1_252			
JH724241	PUL6	JH724241.1_253	JH724241.1	327879	328940	-	107	JH724241.1_253			
JH724241	PUL6	JH724241.1_254	JH724241.1	328959	331040	-	19	JH724241.1_254	susD		
JH724241	PUL6	JH724241.1_255	JH724241.1	331052	334162	-	12	JH724241.1_255	susC		
JH724241	PUL6	JH724241.1_256	JH724241.1	334184	335620	-	22	JH724241.1_256			
JH724241	PUL6	JH724241.1_257	JH724241.1	335683	337524	-	63	JH724241.1_257		GH43_3	
JH724241	PUL6	JH724241.1_258	JH724241.1	337960	339030	-	436	JH724241.1_258			
JH724241	PUL6	JH724241.1_259	JH724241.1	339142	340254	-	112	JH724241.1_259		GH105	
JH724241	PUL6	JH724241.1_260	JH724241.1	340303	342099	-	49	JH724241.1_260		GH93	
JH724241	PUL6	JH724241.1_261	JH724241.1	342126	345191	-	27	JH724241.1_261		GH115	
JH724241	PUL6	JH724241.1_262	JH724241.1	345245	347287	-	54	JH724241.1_262	susD		
JH724241	PUL6	JH724241.1_263	JH724241.1	347308	350586	-	21	JH724241.1_263	susC		
JH724241	PUL6	JH724241.1_264	JH724241.1	350924	351754	-	338	JH724241.1_264			
JH724241	PUL6	JH724241.1_265	JH724241.1	351886	353232	-	132	JH724241.1_265			
JH724241	PUL6	JH724241.1_266	JH724241.1	353301	354719	-	69	JH724241.1_266			
JH724241	PUL6	JH724241.1_267	JH724241.1	354723	354986	-	4	JH724241.1_267			
JH724241	PUL6	JH724241.1_268	JH724241.1	354983	356278	-	-3	JH724241.1_268		GH177	
JH724241	PUL6	JH724241.1_269	JH724241.1	356318	357325	-	40	JH724241.1_269		GH43_3	
JH724241	PUL7	JH724241.1_330	JH724241.1	433252	435249	-	75927	JH724241.1_330		GH172	
JH724241	PUL7	JH724241.1_331	JH724241.1	435561	436538	+	312	JH724241.1_331		GH5_2	
JH724241	PUL7	JH724241.1_332	JH724241.1	436658	439909	+	120	JH724241.1_332	susC		
JH724241	PUL7	JH724241.1_333	JH724241.1	439922	441685	+	13	JH724241.1_333	susD		
JH724241	PUL7	JH724241.1_334	JH724241.1	441714	442886	+	29	JH724241.1_334			
JH724241	PUL7	JH724241.1_335	JH724241.1	442946	444031	+	60	JH724241.1_335		GH5_5	
JH724241	PUL7	JH724241.1_336	JH724241.1	444050	446620	+	19	JH724241.1_336		GH2_13	
JH724241	PUL7	JH724241.1_337	JH724241.1	446631	447671	+	11	JH724241.1_337		GH5_5	
JH724241	PUL7	JH724241.1_338	JH724241.1	447676	449037	+	5	JH724241.1_338		GH140	
JH724241	PUL7	JH724241.1_339	JH724241.1	449064	450233	+	27	JH724241.1_339		GH130_1	
JH724241	PUL7	JH724241.1_340	JH724241.1	450244	451638	+	11	JH724241.1_340			
JH724241	PUL7	JH724241.1_341	JH724241.1	451598	454330	+	-40	JH724241.1_341		CBM67;GH78	
JH724241	PUL7	JH724241.1_342	JH724241.1	454334	455113	+	4	JH724241.1_342			
JH724241	PUL7	JH724241.1_343	JH724241.1	455132	457051	+	19	JH724241.1_343		CE20	
JH724241	PUL7	JH724241.1_344	JH724241.1	457229	458365	+	178	JH724241.1_344			
JH724241	PUL7	JH724241.1_345	JH724241.1	458376	460253	+	11	JH724241.1_345			
JH724241	PUL7	JH724241.1_346	JH724241.1	460250	460708	+	-3	JH724241.1_346			
JH724241	PUL7	JH724241.1_347	JH724241.1	460746	462323	+	38	JH724241.1_347			
JH724241	PUL7	JH724241.1_348	JH724241.1	462479	464707	-	156	JH724241.1_348		GH3	
JH724241	PUL7	JH724241.1_349	JH724241.1	464730	467258	-	23	JH724241.1_349		GH2_1	
JH724241	PUL7	JH724241.1_350	JH724241.1	467305	470163	-	47	JH724241.1_350		GH31_4	
JH724241	PUL7	JH724241.1_351	JH724241.1	470313	474332	-	150	JH724241.1_351			
JH724241	PUL7	JH724241.1_352	JH724241.1	474418	476181	-	86	JH724241.1_352		GH9	
JH724241	PUL7	JH724241.1_353	JH724241.1	476248	477717	-	67	JH724241.1_353			
JH724241	PUL7	JH724241.1_354	JH724241.1	477731	479359	-	14	JH724241.1_354	susD		
JH724241	PUL7	JH724241.1_355	JH724241.1	479383	482556	-	24	JH724241.1_355	susC		
JH724241	PUL7	JH724241.1_356	JH724241.1	482582	484090	-	26	JH724241.1_356		GH5_4	
JH724241	PUL7	JH724241.1_357	JH724241.1	484263	485843	-	173	JH724241.1_357		GH43_12;CBM91	
JH724241	PUL7	JH724241.1_358	JH724241.1	486012	487601	-	169	JH724241.1_358		GH43_12;CBM91	
JH724241	PUL7	JH724241.1_359	JH724241.1	487886	490246	+	285	JH724241.1_359		GH3	
JH724241	PUL8	JH724241.1_367	JH724241.1	503572	504744	-	13326	JH724241.1_367		GH105	
JH724241	PUL8	JH724241.1_368	JH724241.1	504784	505809	-	40	JH724241.1_368			
JH724241	PUL8	JH724241.1_369	JH724241.1	505862	507391	-	53	JH724241.1_369	susD		
JH724241	PUL8	JH724241.1_370	JH724241.1	507404	510604	-	13	JH724241.1_370	susC		
JH724241	PUL8	JH724241.1_371	JH724241.1	510761	514828	-	157	JH724241.1_371			
JH724241	PUL8	JH724241.1_372	JH724241.1	515051	516643	-	223	JH724241.1_372		GH30_4	
