Organism,Scaffold,Start,End,Score,FP929033_600,FP929033_601,FP929033_602,FP929033_603,FP929033_604,FP929033_605,FP929033_606,FP929033_607,FP929033_608,FP929033_609,FP929033_610,FP929033_611,FP929033_612,FP929033_613,FP929033_614,FP929033_615,FP929033_616,FP929033_617,FP929033_618,FP929033_619,FP929033_620,FP929033_621,FP929033_622
AAXF02000052,AAXF02000052.1,449803,488412,26.7300,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1
AE015928,AE015928.1,1257061,1283386,21.2040,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
AE015928,AE015928.1,1298900,1303340,4.2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CP000139,CP000139.1,3352346,3357659,4.2571,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP012801,CP012801.1,6344369,6357036,9.7227,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP012801,CP012801.1,6315470,6324625,6.3300,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
FP929033,FP929033.1,735428,774130,29.9341,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
LT622246,LT622246.1,4465658,4504265,26.7300,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1
NC_004663,NC_004663.1,1257067,1283386,21.2127,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
NC_004663,NC_004663.1,1298900,1303340,4.2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NC_009614,NC_009614.1,3352346,3357659,4.2571,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,698751,737321,26.7300,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1
NZ_CP046176,NZ_CP046176.1,1790548,1795904,4.2577,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP113514,NZ_CP113514.1,2622142,2659957,31.9092,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1
