Organism,Scaffold,Start,End,Score,LT622246_46,LT622246_47
FP929033,FP929033.1,1264086,1269325,3.3552,1,1
LT622246,LT622246.1,48512,53799,3.3569,1,1
NZ_CP046176,NZ_CP046176.1,4616401,4621630,3.2754,1,1
NZ_CP113514,NZ_CP113514.1,4854671,4859931,3.3563,1,1
