cluster_id	sequence_id	start	end	tax_id	database	merged	length	pul_length_sum	percentage_in_puls	blast_status	domain	phylum	class	order	family	genus	species
21143	FP476056	2610665	2619786		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
240	LT622246	4519137	4541642		puldb		6472384	158887	2.4548450771771266	true	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
24474	CP016359	1614973	1648031		puldb		4007868	294672	7.352337951249892	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Christiangramia	Christiangramia flava
246	LT622246	5507775	5526823		puldb		6475296	45191	0.6978985979945936	true	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
248	LT622246	1538257	1557592		puldb		121138	61975	51.16065974343311	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
27813	AE015928	221704	239311		puldb		6260361	1922704	30.712350294176325	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
27836	AE015928	2728184	2735917		puldb		6260361	1922704	30.712350294176325	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
27872	AE015928	4700792	4710028		puldb		6260361	1922704	30.712350294176325	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
299	LT622246	29875	37565		puldb		426007	135004	31.69055907532036	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
307	LT622246	2122781	2132019		puldb		507553	313167	61.70133956453809	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
317	LT622246	5305203	5317768		puldb		491071	78202	15.924784807084922	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
327	LT622246	5869608	5883778		puldb		555155	170616	30.733038520773476	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
4169	CP002113	2090062	2098680		puldb		2571406	177495	6.90264392320777	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus
9088	NC_016610	2353086	2370434		puldb		3405521	33250	0.9763557470354757	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella forsythia
PUL0001	LR027880	1162413	1181577	166486	dbcan		254337	19157	7.532132564274958	false	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia intestinalis
PUL0002	CP147877	4013254	4015110	1423	dbcan		4204738	1857	0.04416446399276245	true	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
PUL0003	CP147877	1944130	1947069	1423	dbcan		4215606	44346	1.0519484031477324	false	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
PUL0004	KM624528	1	3311	77133	dbcan		3311	3310	99.96979764421624	false							
PUL0005	NC_003212	1844298	1849726	1642	dbcan		3011208	5428	0.1802598824126397	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Listeriaceae	Listeria	Listeria innocua
PUL0006	CP008934	1504847	1504874	1422	dbcan		3654829	27	0.0007387486528097484	true	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Geobacillus	Geobacillus thermoleovorans
PUL0007	LN890332	5399	15957	1244	dbcan		35714	10558	29.56263650109201	false							
PUL0009	NC_013515	121344	139674	34105	dbcan		1662578	18330	1.1025046644428111	false	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	Streptobacillus moniliformis
PUL0010	NZ_CP020030	1952509	2001314	33940	dbcan		3550319	53777	1.5147089599554293	false	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Geobacillus	Geobacillus thermodenitrificans
PUL0012	NC_002505	642814	661623	666	dbcan		2961149	31644	1.0686392342972273	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio cholerae
PUL0014	NZ_CP020030	2035523	2046640	33940	dbcan		3640707	11117	0.30535277900693464	false	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Geobacillus	Geobacillus thermodenitrificans
PUL0015	AM406671	1209752	1217592	1358	dbcan		2529478	20146	0.7964489115936173	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus cremoris
PUL0016	AM406671	428397	433134	1358	dbcan		2529478	20146	0.7964489115936173	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus cremoris
PUL0017	CP001348	2466252	2481041	1521	dbcan		4068724	94353	2.3189825606258867	false	Bacteria	Bacillota	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium cellulolyticum
PUL0018	CP000410	285154	298903	1313	dbcan		2038615	23668	1.1609842957105683	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
PUL0019	CP147877	3958789	3965340	1423	dbcan		4217427	6551	0.1553316749762355	true	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
PUL0020	CP195156	2733786	2750565	47715	dbcan		2968598	21412	0.7212832454916429	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus rhamnosus
PUL0021	NC_008526	2647312	2663903	1582	dbcan		2895264	16591	0.5730392807011727	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei
PUL0022	NC_016023	736768	743451	1398	dbcan		3552226	11764	0.3311726224626474	false	Bacteria	Bacillota	Bacilli	Bacillales_B	Bacillaceae_C	Weizmannia	Weizmannia faecalis
PUL0023	NC_016023	839150	844231	1398	dbcan		3552226	11764	0.3311726224626474	false	Bacteria	Bacillota	Bacilli	Bacillales_B	Bacillaceae_C	Weizmannia	Weizmannia faecalis
PUL0024	HE717008	1	14712	77133	dbcan		14714	14711	99.97961125458747	false	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	Dorea_A longicatena
PUL0027	CP092752	1032178	1037752	354	dbcan		5617899	5574	0.09921858687740737	true	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	Azotobacter vinelandii
PUL0028	NZ_AAYG02000020	134626	149292	33038	dbcan		167462	14666	8.757807741457764	false	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B	Ruminococcus_B gnavus
PUL0029	NC_015067	2209677	2271573	216816	dbcan		2385164	79112	3.316836913520412	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
PUL0030	KU644713	1	16598	122631	dbcan		16598	16597	99.99397517773225	false	Bacteria	Bacillota	Bacilli	Bacillales_H	Salisediminibacteriaceae	Salipaludibacillus	Salipaludibacillus agaradhaerens
PUL0031	AE014295	126816	130943	216816	dbcan		2256640	8602	0.38118618831537154	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
PUL0032	AE014295	1500956	1505431	216816	dbcan		2256640	8602	0.38118618831537154	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
PUL0033	AM285304	199808	205845	2133	dbcan		290001	6037	2.081716959596691	true	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Spiroplasma	Spiroplasma citri
PUL0034	CP001655	2245522	2247504	556	dbcan		4813854	7891	0.16392271140753334	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya chrysanthemi
PUL0035	CP001655	2247754	2253663	556	dbcan		4813854	7891	0.16392271140753334	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya chrysanthemi
PUL0037	AE005672	1798266	1808537	1313	dbcan		2160842	47935	2.218348217963183	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
PUL0038	CP016312	1416830	1426883	56956	dbcan		2035182	10053	0.49396073668104373	true	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus brockianus
PUL0039	CP144686	65227	69380	274	dbcan		249487	4153	1.6646157916043722	true	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus thermophilus
PUL0041	U61727	1	3733	571	dbcan		3850	3732	96.93506493506493	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella grimontii
PUL0042	CP001340	1311323	1319129	155892	dbcan		4042929	7806	0.19307784034792597	false	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
PUL0049	LT796702	173	31111	1861841	dbcan		31149	30938	99.32261067771036	false							
PUL0050	LT796703	70	23956	1861841	dbcan		24131	23886	98.98470846628818	false							
PUL0052	CP000449	288889	301419	74318	dbcan		3368780	12530	0.37194473963868224	false	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Maricaulis	Maricaulis maris_A
PUL0053	AM743169	2619918	2632750	40324	dbcan		4851126	12832	0.26451590826542126	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
PUL0054	CP003873	1019219	1032616	28108	dbcan		4629479	13397	0.2893846154178472	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	Alteromonas macleodii
PUL0058	CP147877	3165147	3173058	1423	dbcan		4210909	7912	0.18789292288197157	true	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
PUL0066	GL882630	4456	29812	626930	dbcan		137728	25356	18.410199814126393	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fluxus
PUL0068	AM886293	23902	29914	562	dbcan		168113	6012	3.576166031181408	false							
PUL0078	L18965	1	6760	28238	dbcan		6760	6759	99.98520710059172	false	Bacteria	Bacillota	Thermoanaerobacteria	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor morganii
PUL0081	BA000032	67900	82169	670	dbcan		1877212	14269	0.7601165984449278	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
PUL0082	SIWZ01000001	3978451	3984965	1423	dbcan		4063450	6514	0.16030712817925655	false	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
PUL0083	CP119677	2232177	2256831	29362	dbcan		5027861	30791	0.6124075426906194	true	Bacteria	Bacillota	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium papyrosolvens
PUL0084	CP119677	1153240	1178123	29362	dbcan		471863	30745	6.51566238505668	false	Bacteria	Bacillota	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium papyrosolvens
PUL0085	CP119677	2269356	2275493	29362	dbcan		5027861	30791	0.6124075426906194	true	Bacteria	Bacillota	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium papyrosolvens
PUL0086	CP119677	1180643	1186505	29362	dbcan		471863	30745	6.51566238505668	false	Bacteria	Bacillota	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium papyrosolvens
PUL0087	CP119677	2499288	2505211	29362	dbcan		237393	5924	2.4954400508860832	false	Bacteria	Bacillota	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium papyrosolvens
PUL0088	CP172847	1186698	1197303	1309	dbcan		2073547	10605	0.5114424703177695	true	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans
PUL0089	CP119677	3808139	3810655	29362	dbcan		699012	2517	0.36007965528488783	false	Bacteria	Bacillota	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium papyrosolvens
PUL0094	LR131279	41	41664	77133	dbcan		41855	41623	99.44570541153983	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus
PUL0098	NZ_DS990126	30380	44393	310297	dbcan		123012	44334	36.04038630377524	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeius
PUL0099	LR027880	217565	227093	166486	dbcan		4493348	9528	0.2120467856039639	true	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia intestinalis
PUL0100	CP176406	2262616	2267848	562	dbcan		4653240	5233	0.11245927568747797	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
PUL0101	NZ_DS990126	54056	84377	310297	dbcan		123012	44334	36.04038630377524	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeius
PUL0105	LR131284	577	44510	77133	dbcan		44544	43933	98.62832255747126	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeius
PUL0107	LR131275	175	27831	77133	dbcan		27897	27656	99.13610782521418	false	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium duncaniae
PUL0111	CP176406	4497621	4501690	562	dbcan		4641652	4070	0.08768429860747855	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
PUL0113	NZ_CP022479	2470888	2497028	853	dbcan		556161	26190	4.709068057630794	false	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium duncaniae
PUL0122	CP007013	1598265	1608135	2336	dbcan		1869644	9870	0.527907986761116	false	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima
PUL0126	LR136958	1950044	1962304	2358187	dbcan		4731105	31860	0.6734156185500004	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	Alteromonas naphthalenivorans
PUL0127	LR136958	3936797	3956397	2358187	dbcan		4731105	31860	0.6734156185500004	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	Alteromonas naphthalenivorans
PUL0129	Ga0139390_150	30256	49978	749906	dbcan			19722		false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	""
PUL0135	MH687413	1	27138	53249	dbcan		27138	27137	99.99631513007591	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas fuliginea
PUL0136	ADOP01000016	43718	80113	228	dbcan		90307	36395	40.301416280022586	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas distincta
PUL0137	CP028460	589943	596176	302912	dbcan		1932687	60037	3.106400570811518	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
PUL0138	CP028460	1879108	1890055	302912	dbcan		1932687	60037	3.106400570811518	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
PUL0139	CP028460	61377	75411	302912	dbcan		1932687	60037	3.106400570811518	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
PUL0140	CP028460	622448	639066	302912	dbcan		1932687	60037	3.106400570811518	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
PUL0141	CP028460	153312	158539	302912	dbcan		1932687	60037	3.106400570811518	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
PUL0142	CP028460	1843829	1850807	302912	dbcan		1932687	60037	3.106400570811518	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
PUL0144	AP006878	1552919	1569129	311400	dbcan		2088737	16210	0.7760670682809755	false							
