Organism,Scaffold,Start,End,Score,CP000685_2068,CP000685_2069,CP000685_2070,CP000685_2071,CP000685_2072,CP000685_2073,CP000685_2074,CP000685_2075,CP000685_2076,CP000685_2077,CP000685_2078,CP000685_2079,CP000685_2080,CP000685_2081,CP000685_2082,CP000685_2083,CP000685_2084,CP000685_2085,CP000685_2086,CP000685_2087,CP000685_2088,CP000685_2089,CP000685_2090,CP000685_2091,CP000685_2092,CP000685_2093,CP000685_2094,CP000685_2095,CP000685_2096,CP000685_2097,CP000685_2098,CP000685_2099,CP000685_2100
CP000685,CP000685.1,2361554,2414825,60.2583,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP016359,CP016359.1,368940,374259,3.2041,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_009441,NC_009441.1,2360725,2414825,62.2950,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
