genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
CR626927	PUL1	CR626927.1_217	CR626927.1	246933	248525	-	0	CR626927.1_217		GH27	
CR626927	PUL1	CR626927.1_218	CR626927.1	248617	250461	-	92	CR626927.1_218	susD		
CR626927	PUL1	CR626927.1_219	CR626927.1	250476	253874	-	15	CR626927.1_219	susC		
CR626927	PUL1	CR626927.1_220	CR626927.1	253890	254021	-	16	CR626927.1_220			
CR626927	PUL1	CR626927.1_221	CR626927.1	254040	255188	-	19	CR626927.1_221			
CR626927	PUL1	CR626927.1_222	CR626927.1	255275	255817	-	87	CR626927.1_222			
CR626927	PUL1	CR626927.1_223	CR626927.1	256048	258207	-	231	CR626927.1_223		GH36	
CR626927	PUL1	CR626927.1_224	CR626927.1	258451	259005	+	244	CR626927.1_224			
CR626927	PUL1	CR626927.1_225	CR626927.1	259129	261333	+	124	CR626927.1_225			
CR626927	PUL1	CR626927.1_226	CR626927.1	261533	261625	+	200	CR626927.1_226			
CR626927	PUL1	CR626927.1_227	CR626927.1	261582	262907	+	-43	CR626927.1_227	susC		
CR626927	PUL2	CR626927.1_267	CR626927.1	310550	311626	-	47643	CR626927.1_267		GH43_26	
CR626927	PUL2	CR626927.1_268	CR626927.1	311708	314206	-	82	CR626927.1_268		GH3	
CR626927	PUL2	CR626927.1_269	CR626927.1	314349	315515	-	143	CR626927.1_269		GH76	
CR626927	PUL2	CR626927.1_270	CR626927.1	315731	317491	-	216	CR626927.1_270		GH2_19	
CR626927	PUL2	CR626927.1_271	CR626927.1	317632	319668	-	141	CR626927.1_271		GH127	
CR626927	PUL2	CR626927.1_272	CR626927.1	319706	321769	-	38	CR626927.1_272		GH127	
CR626927	PUL2	CR626927.1_273	CR626927.1	322047	323153	+	278	CR626927.1_273		GH43_26	
CR626927	PUL2	CR626927.1_274	CR626927.1	323256	325070	+	103	CR626927.1_274		GH2_18	
CR626927	PUL2	CR626927.1_275	CR626927.1	325166	327676	+	96	CR626927.1_275			
CR626927	PUL2	CR626927.1_276	CR626927.1	327825	330293	-	149	CR626927.1_276	susC		
CR626927	PUL2	CR626927.1_277	CR626927.1	330313	333930	-	20	CR626927.1_277		GH38	
CR626927	PUL2	CR626927.1_278	CR626927.1	334274	337477	+	344	CR626927.1_278	susC		
CR626927	PUL2	CR626927.1_279	CR626927.1	337506	339371	+	29	CR626927.1_279	susD		
CR626927	PUL2	CR626927.1_280	CR626927.1	339391	340098	+	20	CR626927.1_280			
CR626927	PUL2	CR626927.1_281	CR626927.1	340193	340612	+	95	CR626927.1_281			
CR626927	PUL2	CR626927.1_282	CR626927.1	340736	341713	+	124	CR626927.1_282		GH43_3	
CR626927	PUL3	CR626927.1_311	CR626927.1	383737	386313	+	42024	CR626927.1_311	susC		
CR626927	PUL3	CR626927.1_312	CR626927.1	386594	387814	-	281	CR626927.1_312		GH154	
CR626927	PUL3	CR626927.1_313	CR626927.1	387814	389901	-	0	CR626927.1_313		GH2_2	
CR626927	PUL3	CR626927.1_314	CR626927.1	389958	391493	-	57	CR626927.1_314		GH20	
CR626927	PUL3	CR626927.1_315	CR626927.1	391524	392435	-	31	CR626927.1_315			
CR626927	PUL3	CR626927.1_316	CR626927.1	392456	393667	-	21	CR626927.1_316		GH88	
CR626927	PUL3	CR626927.1_317	CR626927.1	393671	395578	-	4	CR626927.1_317		PL33	
CR626927	PUL3	CR626927.1_318	CR626927.1	395930	397777	-	352	CR626927.1_318	susD		
CR626927	PUL3	CR626927.1_319	CR626927.1	397795	401148	-	18	CR626927.1_319	susC		
CR626927	PUL3	CR626927.1_320	CR626927.1	401513	403162	+	365	CR626927.1_320			
CR626927	PUL3	CR626927.1_321	CR626927.1	403256	405694	-	94	CR626927.1_321			
CR626927	PUL3	CR626927.1_322	CR626927.1	405834	406577	-	140	CR626927.1_322			
CR626927	PUL3	CR626927.1_323	CR626927.1	406578	407933	-	1	CR626927.1_323		GH144	
CR626927	PUL3	CR626927.1_324	CR626927.1	408099	410399	-	166	CR626927.1_324		GH3	
CR626927	PUL3	CR626927.1_325	CR626927.1	410502	412022	-	103	CR626927.1_325	susD		
CR626927	PUL3	CR626927.1_326	CR626927.1	412034	415084	-	12	CR626927.1_326	susC		
CR626927	PUL4	CR626927.1_333	CR626927.1	420462	423521	+	5378	CR626927.1_333	susC		
