Organism,Scaffold,Start,End,Score,CP000388_2581,CP000388_2582,CP000388_2583,CP000388_2584,CP000388_2585,CP000388_2586,CP000388_2587,CP000388_2588,CP000388_2589,CP000388_2590,CP000388_2591,CP000388_2592,CP000388_2593,CP000388_2594,CP000388_2595,CP000388_2596,CP000388_2597,CP000388_2598,CP000388_2599,CP000388_2600,CP000388_2601,CP000388_2602,CP000388_2603,CP000388_2604,CP000388_2605,CP000388_2606,CP000388_2607,CP000388_2608,CP000388_2609
AE006468,AE006468.2,1873324,1882903,3.1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
CABDWQ010000001,CABDWQ010000001.1,1725077,1734750,3.1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
CP000388,CP000388.1,3084704,3118892,59.0194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP003873,CP003873.1,1670039,1679723,3.1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
LT965928,LT965928.1,1188841,1196611,3.1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
NC_006370,NC_006370.1,3294376,3301740,3.1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
NC_007912,NC_007912.1,3347385,3350317,5.1438,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_008228,NC_008228.1,3084704,3118892,59.0178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_LSNE01000005,NZ_LSNE01000005.1,115330,119871,4.1864,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_PJAI02000001,NZ_PJAI02000001.1,351545,355976,7.2443,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
