genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_JQNQ01000001	PUL1	NZ_JQNQ01000001.1_142	NZ_JQNQ01000001.1	164195	167185	+	0	NZ_JQNQ01000001.1_142	susC		
NZ_JQNQ01000001	PUL1	NZ_JQNQ01000001.1_143	NZ_JQNQ01000001.1	167196	168602	+	11	NZ_JQNQ01000001.1_143	susD		
NZ_JQNQ01000001	PUL2	NZ_JQNQ01000001.1_486	NZ_JQNQ01000001.1	525946	529032	+	357344	NZ_JQNQ01000001.1_486	susC		
NZ_JQNQ01000001	PUL2	NZ_JQNQ01000001.1_487	NZ_JQNQ01000001.1	529042	530631	+	10	NZ_JQNQ01000001.1_487	susD		
NZ_JQNQ01000001	PUL3	NZ_JQNQ01000001.1_902	NZ_JQNQ01000001.1	995018	997990	+	464387	NZ_JQNQ01000001.1_902	susC		
NZ_JQNQ01000001	PUL3	NZ_JQNQ01000001.1_903	NZ_JQNQ01000001.1	998001	999404	+	11	NZ_JQNQ01000001.1_903	susD		
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1_917	NZ_JQNQ01000001.1	1014275	1016872	+	14871	NZ_JQNQ01000001.1_917		CBM57;GH2_2	
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1_918	NZ_JQNQ01000001.1	1016959	1019229	-	87	NZ_JQNQ01000001.1_918		GH3	
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1_919	NZ_JQNQ01000001.1	1019268	1021073	-	39	NZ_JQNQ01000001.1_919		CBM32;GH43_28	
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1_920	NZ_JQNQ01000001.1	1021081	1021884	-	8	NZ_JQNQ01000001.1_920		CE1	
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1_921	NZ_JQNQ01000001.1	1021904	1022902	-	20	NZ_JQNQ01000001.1_921			
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1_922	NZ_JQNQ01000001.1	1022908	1024284	-	6	NZ_JQNQ01000001.1_922		GH144	
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1_923	NZ_JQNQ01000001.1	1024394	1025731	-	110	NZ_JQNQ01000001.1_923		GH144	
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1_924	NZ_JQNQ01000001.1	1025812	1027266	-	81	NZ_JQNQ01000001.1_924	susD		
NZ_JQNQ01000001	PUL4	NZ_JQNQ01000001.1_925	NZ_JQNQ01000001.1	1027284	1030388	-	18	NZ_JQNQ01000001.1_925	susC		
NZ_JQNQ01000001	PUL5	NZ_JQNQ01000001.1_1174	NZ_JQNQ01000001.1	1309163	1310596	-	278775	NZ_JQNQ01000001.1_1174	susD		
NZ_JQNQ01000001	PUL5	NZ_JQNQ01000001.1_1175	NZ_JQNQ01000001.1	1310606	1313767	-	10	NZ_JQNQ01000001.1_1175	susC		
NZ_JQNQ01000001	PUL6	NZ_JQNQ01000001.1_1235	NZ_JQNQ01000001.1	1395811	1397733	-	82044	NZ_JQNQ01000001.1_1235	susD		
NZ_JQNQ01000001	PUL6	NZ_JQNQ01000001.1_1236	NZ_JQNQ01000001.1	1397746	1400859	-	13	NZ_JQNQ01000001.1_1236	susC		
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1262	NZ_JQNQ01000001.1	1435269	1437656	-	34410	NZ_JQNQ01000001.1_1262		GH146	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1263	NZ_JQNQ01000001.1	1437663	1439174	-	7	NZ_JQNQ01000001.1_1263		GH51_1	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1264	NZ_JQNQ01000001.1	1439390	1440079	+	216	NZ_JQNQ01000001.1_1264			
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1265	NZ_JQNQ01000001.1	1440328	1444392	+	249	NZ_JQNQ01000001.1_1265			
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1266	NZ_JQNQ01000001.1	1444596	1445903	-	204	NZ_JQNQ01000001.1_1266		GH8	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1267	NZ_JQNQ01000001.1	1445947	1447653	-	44	NZ_JQNQ01000001.1_1267		CBM91;GH43_12	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1268	NZ_JQNQ01000001.1	1447688	1449052	-	35	NZ_JQNQ01000001.1_1268		GH43_29;CBM6	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1269	NZ_JQNQ01000001.1	1449206	1450174	-	154	NZ_JQNQ01000001.1_1269		GH43_29	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1270	NZ_JQNQ01000001.1	1450219	1451883	-	45	NZ_JQNQ01000001.1_1270		CE1;CE6	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1271	NZ_JQNQ01000001.1	1451907	1454402	-	24	NZ_JQNQ01000001.1_1271		GH95	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1272	NZ_JQNQ01000001.1	1454409	1455767	-	7	NZ_JQNQ01000001.1_1272		GH43_2	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1273	NZ_JQNQ01000001.1	1455769	1457331	-	2	NZ_JQNQ01000001.1_1273		CBM91;GH43_10	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1274	NZ_JQNQ01000001.1	1457337	1458662	-	6	NZ_JQNQ01000001.1_1274		CE15	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1275	NZ_JQNQ01000001.1	1458694	1460637	-	32	NZ_JQNQ01000001.1_1275		GH97	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1276	NZ_JQNQ01000001.1	1460653	1461804	-	16	NZ_JQNQ01000001.1_1276		GH10	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1277	NZ_JQNQ01000001.1	1462126	1464297	-	322	NZ_JQNQ01000001.1_1277		GH10	
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1278	NZ_JQNQ01000001.1	1464317	1465684	-	20	NZ_JQNQ01000001.1_1278			
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1279	NZ_JQNQ01000001.1	1465719	1467353	-	35	NZ_JQNQ01000001.1_1279	susD		
NZ_JQNQ01000001	PUL7	NZ_JQNQ01000001.1_1280	NZ_JQNQ01000001.1	1467364	1470528	-	11	NZ_JQNQ01000001.1_1280	susC		
NZ_JQNQ01000001	PUL8	NZ_JQNQ01000001.1_1303	NZ_JQNQ01000001.1	1504581	1507562	+	34053	NZ_JQNQ01000001.1_1303	susC		
