Organism,Scaffold,Start,End,Score,CP016359_1366,CP016359_1367,CP016359_1368,CP016359_1369,CP016359_1370,CP016359_1371,CP016359_1372,CP016359_1373,CP016359_1374,CP016359_1375,CP016359_1376,CP016359_1377,CP016359_1378,CP016359_1379,CP016359_1380,CP016359_1381,CP016359_1382,CP016359_1383,CP016359_1384,CP016359_1385,CP016359_1386
CP016359,CP016359.1,1615112,1647031,39.9775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
CU207366,CU207366.1,3486104,3491725,5.2556,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT629745,LT629745.1,1571765,1580079,5.2577,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_JQNQ01000001,NZ_JQNQ01000001.1,2107125,2122306,7.3357,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NZ_JQNQ01000001,NZ_JQNQ01000001.1,2130177,2137742,4.3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
