Organism,Scaffold,Start,End,Score,KF840174_1,KF840174_2,KF840174_3,KF840174_4,KF840174_5,KF840174_6,KF840174_7,KF840174_8,KF840174_9,KF840174_10,KF840174_11
BA000043,BA000043.1,3237448,3251094,21.8049,1,1,1,1,1,1,1,1,1,1,1
CP002835,CP002835.1,241626,251376,9.3624,1,1,0,0,1,0,0,1,1,1,0
KF840174,KF840174.1,235,13867,21.8112,1,1,1,1,1,1,1,1,1,1,1
NC_009328,NC_009328.1,3222109,3237176,18.6934,1,1,1,0,1,1,1,1,1,1,1
NZ_CP020030,NZ_CP020030.1,3267676,3282743,18.6936,1,1,1,0,1,1,1,1,1,1,1
