Organism,Scaffold,Start,End,Score,JX424628_14,JX424628_15,JX424628_16,JX424628_17,JX424628_18,JX424628_19,JX424628_20,JX424628_21,JX424628_22,JX424628_23,JX424628_24
JX424622,JX424622.1,8797,14902,4.3416,1,0,0,0,0,1,1,0,0,0,0
JX424628,JX424628.1,16342,32307,22.0376,1,1,1,1,1,1,1,1,1,1,1
NC_014033,NC_014033.1,3040954,3047062,4.3413,1,0,0,0,0,1,1,0,0,0,0
