Organism,Scaffold,Start,End,Score,NZ_GG657685_158,NZ_GG657685_159,NZ_GG657685_160,NZ_GG657685_161,NZ_GG657685_162,NZ_GG657685_163,NZ_GG657685_164,NZ_GG657685_165,NZ_GG657685_166
LT674131,LT674131.1,1149,5520,6.2246,0,1,1,1,0,0,1,0,0
NZ_BTHI01000008,NZ_BTHI01000008.1,57326,60495,5.1451,0,1,1,1,0,0,0,0,0
NZ_CP022413,NZ_CP022413.2,517010,523928,11.3701,0,1,1,1,1,1,1,0,0
NZ_CP084061,NZ_CP084061.1,2704757,2710764,8.3109,0,1,1,1,1,0,1,0,0
NZ_GG657685,NZ_GG657685.1,174320,185015,17.6287,1,1,1,1,1,1,1,1,1
