Organism,Scaffold,Start,End,Score,JAHNZS010000043_2,JAHNZS010000043_3,JAHNZS010000043_4,JAHNZS010000043_5,JAHNZS010000043_6,JAHNZS010000043_7,JAHNZS010000043_8
CP017063,CP017063.1,410802,413066,5.1280,0,0,1,1,1,0,0
CP107221,CP107221.1,585721,592902,9.2648,0,0,1,1,1,1,1
JAHNZS010000043,JAHNZS010000043.1,497,9566,13.5359,1,1,1,1,1,1,1
NC_008526,NC_008526.1,551920,557730,9.3019,0,0,1,1,1,1,1
NC_010999,NC_010999.1,441610,443968,5.1301,0,0,1,1,1,0,0
