Organism,Scaffold,Start,End,Score,BA000043_730,BA000043_731,BA000043_732,BA000043_733,BA000043_734
BA000043,BA000043.1,726822,732934,9.3943,1,1,1,1,1
CP008934,CP008934.1,2471011,2477126,9.3825,1,1,1,1,1
CP128449,CP128449.1,642000,648109,9.3860,1,1,1,1,1
NZ_CP020030,NZ_CP020030.1,763155,769267,9.3672,1,1,1,1,1
