Organism,Scaffold,Start,End,Score,CABDWQ010000001_919,CABDWQ010000001_920,CABDWQ010000001_921,CABDWQ010000001_922,CABDWQ010000001_923,CABDWQ010000001_924,CABDWQ010000001_925,CABDWQ010000001_926,CABDWQ010000001_927,CABDWQ010000001_928,CABDWQ010000001_929,CABDWQ010000001_930,CABDWQ010000001_931,CABDWQ010000001_932
CABDWQ010000001,CABDWQ010000001.1,1088946,1111260,28.3340,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP003873,CP003873.1,1020433,1042766,25.3038,1,0,1,1,1,1,1,1,1,1,1,1,1,1
LR136958,LR136958.1,3947816,3956397,5.2067,0,0,1,0,0,1,2,0,0,0,0,0,0,0
LT965928,LT965928.1,1244356,1253201,5.1755,0,0,1,0,0,1,1,0,1,0,0,0,0,0
