HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM3.hmm	88	Cpap_0250	1429	3.5e-24	1	88	36	125	0.9886363636363636
cohesin.hmm	134	Cpap_0250	1429	8.1e-39	2	132	286	414	0.9701492537313433
cohesin.hmm	134	Cpap_0250	1429	1.3e-38	2	132	433	561	0.9701492537313433
cohesin.hmm	134	Cpap_0250	1429	4.1e-38	2	132	580	708	0.9701492537313433
cohesin.hmm	134	Cpap_0250	1429	6.2e-38	2	132	727	855	0.9701492537313433
cohesin.hmm	134	Cpap_0250	1429	7.2e-38	2	132	964	1092	0.9701492537313433
cohesin.hmm	134	Cpap_0250	1429	5.4e-35	3	133	1292	1421	0.9701492537313433
GH48.hmm	611	Cpap_0251	721	1.1e-296	1	611	38	654	0.9983633387888707
GH8.hmm	320	Cpap_0252	460	5.8e-87	3	319	66	384	0.9875
GH9.hmm	418	Cpap_0253	725	5.1e-139	1	418	40	469	0.9976076555023924
CBM3.hmm	88	Cpap_0253	725	4.1e-21	5	88	498	581	0.9431818181818182
CBM4.hmm	126	Cpap_0254	885	5.6e-36	1	125	34	170	0.9841269841269841
GH9.hmm	418	Cpap_0254	885	5.3e-126	2	417	312	805	0.992822966507177
cohesin.hmm	134	Cpap_0255	224	4.7e-37	2	132	87	216	0.9701492537313433
GH9.hmm	418	Cpap_0256	737	5.4e-128	1	418	37	491	0.9976076555023924
GH9.hmm	418	Cpap_0257	757	8.9e-140	1	418	39	512	0.9976076555023924
CBM3.hmm	88	Cpap_0257	757	1.6e-23	1	88	538	630	0.9886363636363636
GH5_17.hmm	292	Cpap_0258	424	1.3e-183	1	291	111	401	0.9931506849315068
GH9.hmm	418	Cpap_0259	510	5.6e-131	1	418	19	438	0.9976076555023924
GH5_7.hmm	289	Cpap_0260	455	6.6e-85	2	289	84	362	0.9930795847750865
GH5_1.hmm	310	Cpap_0261	586	8.1e-120	1	310	48	417	0.9967741935483871
