Organism,Scaffold,Start,End,Score,AM406671_189,AM406671_190,AM406671_191,AM406671_192,AM406671_193
AE005176,AE005176.1,176337,181104,4.2646,1,1,0,0,1
AM406671,AM406671.1,174929,179693,9.2931,1,1,1,1,1
AP012281,AP012281.1,149858,154624,6.2775,1,1,1,0,1
CP001834,CP001834.1,168627,173394,9.2877,1,1,1,1,1
