Organism,Scaffold,Start,End,Score,NC_003919_4162,NC_003919_4163,NC_003919_4164,NC_003919_4165,NC_003919_4166,NC_003919_4167,NC_003919_4168,NC_003919_4169,NC_003919_4170,NC_003919_4171,NC_003919_4172,NC_003919_4173,NC_003919_4174,NC_003919_4175,NC_003919_4176,NC_003919_4177,NC_003919_4178,NC_003919_4179,NC_003919_4180,NC_003919_4181,NC_003919_4182,NC_003919_4183,NC_003919_4184,NC_003919_4185,NC_003919_4186,NC_003919_4187,NC_003919_4188,NC_003919_4189,NC_003919_4190,NC_003919_4191,NC_003919_4192,NC_003919_4193
AE008922,AE008922.1,4872853,4909294,34.6159,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
AM039952,AM039952.1,4977435,5022264,56.4815,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NC_003919,NC_003919.1,4984489,5029051,54.4570,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
