Organism,Scaffold,Start,End,Score,FP476056_2836,FP476056_2837,FP476056_2838,FP476056_2839,FP476056_2840,FP476056_2841,FP476056_2842
CP002534,CP002534.1,1372294,1380828,3.2838,0,0,0,1,0,1,1
FP476056,FP476056.1,3465708,3478173,13.7441,1,1,1,1,1,1,1
NC_014934,NC_014934.1,3497567,3507860,5.3379,0,0,0,1,1,1,1
NZ_CP009976,NZ_CP009976.1,2780419,2790641,5.3391,0,0,0,1,1,1,1
NZ_VISB01000001,NZ_VISB01000001.1,4179835,4189426,4.2842,0,0,0,1,0,1,1
