protein_id	sequence_id	cluster_id	is_PUL	start	end	protein_id_pred	sequence_id_pred	cluster_id_pred	is_PUL_pred	start_pred	end_pred	average_p
ABJL02000008_1	ABJL02000008		false	46	865	ABJL02000008_1	ABJL02000008		false	46	865	0.005560781553437334
ABJL02000008_10	ABJL02000008		false	7030	8788	ABJL02000008_10	ABJL02000008		false	7030	8788	0.0006021935643935619
ABJL02000008_100	ABJL02000008		false	124665	125088	ABJL02000008_100	ABJL02000008		false	124665	125088	0.004080660758503563
ABJL02000008_1000	ABJL02000008		false	1216897	1218499	ABJL02000008_1000	ABJL02000008	ABJL02000008_cluster_17	true	1216897	1218499	0.9471253041866319
ABJL02000008_1001	ABJL02000008		false	1218508	1219882	ABJL02000008_1001	ABJL02000008	ABJL02000008_cluster_17	true	1218508	1219882	0.9537466664373172
ABJL02000008_1002	ABJL02000008		false	1219902	1222083	ABJL02000008_1002	ABJL02000008		false	1219902	1222083	0.7335280336541956
ABJL02000008_1003	ABJL02000008		false	1222200	1223775	ABJL02000008_1003	ABJL02000008		false	1222200	1223775	0.11465535023239094
ABJL02000008_1004	ABJL02000008		false	1223818	1226608	ABJL02000008_1004	ABJL02000008		false	1223818	1226608	0.18248687660817814
ABJL02000008_1005	ABJL02000008		false	1226662	1228057	ABJL02000008_1005	ABJL02000008		false	1226662	1228057	0.4314201498828558
ABJL02000008_1006	ABJL02000008		false	1228269	1228878	ABJL02000008_1006	ABJL02000008		false	1228269	1228878	0.017050445113169596
ABJL02000008_1007	ABJL02000008		false	1228907	1229141	ABJL02000008_1007	ABJL02000008		false	1228907	1229141	0.023787954998246548
ABJL02000008_1008	ABJL02000008		false	1229368	1230829	ABJL02000008_1008	ABJL02000008		false	1229368	1230829	0.006968758473212546
ABJL02000008_1009	ABJL02000008		false	1230893	1231223	ABJL02000008_1009	ABJL02000008		false	1230893	1231223	0.0036296200864730094
ABJL02000008_101	ABJL02000008		false	125790	126543	ABJL02000008_101	ABJL02000008		false	125790	126543	0.00023040941331522457
ABJL02000008_1010	ABJL02000008		false	1231213	1231444	ABJL02000008_1010	ABJL02000008		false	1231213	1231444	0.019668840613384926
ABJL02000008_1011	ABJL02000008		false	1231517	1232477	ABJL02000008_1011	ABJL02000008		false	1231517	1232477	0.0027849804394383037
ABJL02000008_1012	ABJL02000008		false	1232507	1233485	ABJL02000008_1012	ABJL02000008		false	1232507	1233485	0.01300235788044499
ABJL02000008_1013	ABJL02000008		false	1233500	1234583	ABJL02000008_1013	ABJL02000008		false	1233500	1234583	0.06549845743058536
ABJL02000008_1014	ABJL02000008		false	1234582	1235347	ABJL02000008_1014	ABJL02000008		false	1234582	1235347	0.024248154873236588
ABJL02000008_1015	ABJL02000008		false	1235362	1236316	ABJL02000008_1015	ABJL02000008		false	1235362	1236316	0.013306290185787488
ABJL02000008_1016	ABJL02000008		false	1236308	1237430	ABJL02000008_1016	ABJL02000008		false	1236308	1237430	0.0025384188709808853
ABJL02000008_1017	ABJL02000008		false	1237509	1237656	ABJL02000008_1017	ABJL02000008		false	1237509	1237656	0.02091354985361427
ABJL02000008_1018	ABJL02000008		false	1237676	1238804	ABJL02000008_1018	ABJL02000008		false	1237676	1238804	0.008543877427172879
ABJL02000008_1019	ABJL02000008		false	1238816	1240181	ABJL02000008_1019	ABJL02000008		false	1238816	1240181	0.02093074624048155
ABJL02000008_102	ABJL02000008		false	126549	126972	ABJL02000008_102	ABJL02000008		false	126549	126972	0.0028139392595683344
ABJL02000008_1020	ABJL02000008		false	1240190	1241177	ABJL02000008_1020	ABJL02000008		false	1240190	1241177	0.00974359759331272
ABJL02000008_1021	ABJL02000008		false	1241277	1242444	ABJL02000008_1021	ABJL02000008		false	1241277	1242444	0.0037888623749433225
ABJL02000008_1022	ABJL02000008		false	1242472	1242637	ABJL02000008_1022	ABJL02000008		false	1242472	1242637	0.02526758726335876
ABJL02000008_1023	ABJL02000008		false	1242599	1242749	ABJL02000008_1023	ABJL02000008		false	1242599	1242749	0.024029971053577025
ABJL02000008_1024	ABJL02000008		false	1242869	1243880	ABJL02000008_1024	ABJL02000008		false	1242869	1243880	0.0251746681524637
ABJL02000008_1025	ABJL02000008		false	1243908	1245930	ABJL02000008_1025	ABJL02000008		false	1243908	1245930	0.0018915234261065903
ABJL02000008_1026	ABJL02000008		false	1246058	1246316	ABJL02000008_1026	ABJL02000008		false	1246058	1246316	0.03929405657235369
ABJL02000008_1027	ABJL02000008		false	1246523	1247054	ABJL02000008_1027	ABJL02000008		false	1246523	1247054	0.015529054197017361
ABJL02000008_1028	ABJL02000008		false	1247167	1247272	ABJL02000008_1028	ABJL02000008		false	1247167	1247272	0.023364110631737538
ABJL02000008_1029	ABJL02000008		false	1247276	1247720	ABJL02000008_1029	ABJL02000008		false	1247276	1247720	0.034129399068243665
ABJL02000008_103	ABJL02000008		false	127013	127433	ABJL02000008_103	ABJL02000008		false	127013	127433	0.0034478800125874198
ABJL02000008_1030	ABJL02000008		false	1247803	1249327	ABJL02000008_1030	ABJL02000008		false	1247803	1249327	0.03002826545425991
ABJL02000008_1031	ABJL02000008		false	1249399	1250311	ABJL02000008_1031	ABJL02000008		false	1249399	1250311	0.026717557669428592
ABJL02000008_1032	ABJL02000008		false	1250333	1251056	ABJL02000008_1032	ABJL02000008		false	1250333	1251056	0.034958788753816215
ABJL02000008_1033	ABJL02000008		false	1251052	1252270	ABJL02000008_1033	ABJL02000008		false	1251052	1252270	0.00934495348573196
