genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
JX424618	PUL1	JX424618.1_7	JX424618.1	10820	13150	-	0	JX424618.1_7		GH5_4;GH26	
JX424618	PUL1	JX424618.1_8	JX424618.1	13147	13614	-	-3	JX424618.1_8			
JX424618	PUL1	JX424618.1_9	JX424618.1	13673	15637	-	59	JX424618.1_9			
JX424618	PUL1	JX424618.1_10	JX424618.1	15659	17041	-	22	JX424618.1_10			
JX424618	PUL1	JX424618.1_11	JX424618.1	17062	18819	-	21	JX424618.1_11	susD		
JX424618	PUL1	JX424618.1_12	JX424618.1	18839	22120	-	20	JX424618.1_12	susC		
JX424618	PUL1	JX424618.1_13	JX424618.1	22587	23474	-	467	JX424618.1_13			
JX424618	PUL1	JX424618.1_14	JX424618.1	23471	24691	-	-3	JX424618.1_14			
JX424618	PUL1	JX424618.1_15	JX424618.1	24694	26037	-	3	JX424618.1_15			
JX424618	PUL1	JX424618.1_16	JX424618.1	26059	27231	-	22	JX424618.1_16		GH130_1	
JX424618	PUL1	JX424618.1_17	JX424618.1	27239	28312	-	8	JX424618.1_17		GH26	
JX424618	PUL1	JX424618.1_18	JX424618.1	28309	29562	-	-3	JX424618.1_18		CE7	
JX424618	PUL1	JX424618.1_19	JX424618.1	29974	31431	+	412	JX424618.1_19		CE20	
JX424618	PUL1	JX424618.1_20	JX424618.1	31460	33649	+	29	JX424618.1_20		GH36	
JX424618	PUL1	JX424618.1_21	JX424618.1	33732	36089	-	83	JX424618.1_21		GH3	
JX424618	PUL1	JX424618.1_22	JX424618.1	36132	37418	-	43	JX424618.1_22		GH5_7	
