Organism,Scaffold,Start,End,Score,NZ_JH992941_843,NZ_JH992941_844,NZ_JH992941_845,NZ_JH992941_846,NZ_JH992941_847,NZ_JH992941_848,NZ_JH992941_849,NZ_JH992941_850,NZ_JH992941_851,NZ_JH992941_852
CP012801,CP012801.1,3674189,3683610,7.5359,1,1,1,1,0,0,0,0,0,0
CP012801,CP012801.1,3691731,3695070,5.2163,0,0,0,0,0,1,1,1,0,0
EQ973490,EQ973490.1,1329074,1338461,7.5369,1,1,1,1,0,0,0,0,0,0
EQ973490,EQ973490.1,1349078,1352423,5.2162,0,0,0,0,0,1,1,1,0,0
NZ_ABJL02000007,NZ_ABJL02000007.1,180431,189673,7.5342,1,1,1,1,0,0,0,0,0,0
NZ_ABJL02000007,NZ_ABJL02000007.1,167128,170469,5.2132,0,0,0,0,0,1,1,1,0,0
NZ_DS995511,NZ_DS995511.1,704514,707854,5.2004,0,0,0,0,0,1,1,1,0,0
NZ_EQ973490,NZ_EQ973490.1,1329074,1338461,7.5369,1,1,1,1,0,0,0,0,0,0
NZ_EQ973490,NZ_EQ973490.1,1349078,1352417,5.2162,0,0,0,0,0,1,1,1,0,0
NZ_JH992941,NZ_JH992941.1,1220564,1238669,20.1727,1,1,1,1,1,1,1,1,1,1
