Organism,Scaffold,Start,End,Score,FP476056_4411,FP476056_4412,FP476056_4413,FP476056_4414,FP476056_4415,FP476056_4416,FP476056_4417,FP476056_4418,FP476056_4419,FP476056_4420,FP476056_4421,FP476056_4422,FP476056_4423,FP476056_4424,FP476056_4425,FP476056_4426,FP476056_4427,FP476056_4428,FP476056_4429
CP002534,CP002534.1,420101,430339,12.4832,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
FP476056,FP476056.1,5363902,5389859,36.5402,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1
NC_014934,NC_014934.1,2900155,2910412,12.4813,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
NZ_CP009976,NZ_CP009976.1,2340553,2353047,12.4861,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
NZ_CP014224,NZ_CP014224.1,374080,388095,9.3927,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
NZ_CP074436,NZ_CP074436.1,405828,412902,7.2850,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
NZ_CP098511,NZ_CP098511.1,2202879,2207886,6.2318,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
NZ_KI912107,NZ_KI912107.1,5816799,5820310,4.1732,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
