Organism,Scaffold,Start,End,Score,LT622246_4844,LT622246_4845,LT622246_4846,LT622246_4847,LT622246_4848,LT622246_4849,LT622246_4850,LT622246_4851,LT622246_4852,LT622246_4853,LT622246_4854
ABJL02000008,ABJL02000008.1,3366356,3370413,4.2330,0,1,1,0,1,0,0,0,0,0,0
AE015928,AE015928.1,2472242,2478076,4.3334,0,1,0,0,1,1,0,0,0,0,0
AP006841,AP006841.1,4113238,4117199,4.2332,0,1,1,0,1,0,0,0,0,0,0
CP012801,CP012801.1,1532607,1536594,4.2339,0,1,1,0,1,0,0,0,0,0,0
FP929033,FP929033.1,1518049,1522932,9.2904,1,1,1,1,1,0,0,0,0,0,0
LT622246,LT622246.1,6235551,6245911,18.6148,1,1,1,0,1,1,1,1,1,1,1
NC_003228,NC_003228.3,4017743,4021704,4.2329,0,1,1,0,1,0,0,0,0,0,0
NC_004663,NC_004663.1,2472242,2478076,6.3438,0,1,1,0,1,1,0,0,0,0,0
NC_006347,NC_006347.1,4113238,4117199,4.2332,0,1,1,0,1,0,0,0,0,0,0
NC_016776,NC_016776.1,4055661,4059622,4.2332,0,1,1,0,1,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,2468947,2479334,18.6121,1,1,1,0,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,4531379,4541764,18.6112,1,1,1,0,1,1,1,1,1,1,1
