dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH86_e5	GH86:20	3.2.1.81:2	agarose	642	NBT05_RS08975	742	6.5e-211	2	642	24	652	0.9968847352024922	0.9968847352024922
GH16_e284	GH16_16:42|CBM6:20|GH16:1	3.2.1.81:9	agarose	315	NBT05_RS08980	905	1.2e-161	1	315	58	384	0.9968253968253968	0.9968253968253968
CBM56_e2	CBM56:24|GH16_3:24|CBM32:1	3.2.1.39:1	beta-glucan	179	NBT05_RS08980	905	4.3e-19	4	95	392	482	0.5083798882681564	0.5083798882681564
CBM56_e2	CBM56:24|GH16_3:24|CBM32:1	3.2.1.39:1	beta-glucan	179	NBT05_RS08980	905	1.4e-18	5	95	483	572	0.5027932960893855	0.5027932960893855
CBM56_e2	CBM56:24|GH16_3:24|CBM32:1	3.2.1.39:1	beta-glucan	179	NBT05_RS08980	905	3.8e-16	5	94	573	661	0.4972067039106145	0.4972067039106145
CBM6_e14	CBM6:9|GH8:7|CBM36:5|GH5_55:2|CBM2:1|GH5:1	-	beta-glucan, xylan, cellulose	134	NBT05_RS08980	905	1.7e-39	1	131	686	813	0.9701492537313433	0.9701492537313433
GH86_e12	GH86:15	-	-	608	NBT05_RS08985	1034	4.5e-38	2	232	24	269	0.3782894736842105	0.3782894736842105
GH86_e4	GH86:29|CBM6:26	3.2.1.81:3	agarose	399	NBT05_RS08985	1034	9.6e-150	4	399	302	704	0.9899749373433584	0.9899749373433584
CBM56_e2	CBM56:24|GH16_3:24|CBM32:1	3.2.1.39:1	beta-glucan	179	NBT05_RS08985	1034	8e-20	6	141	719	868	0.7541899441340782	0.7541899441340782
CBM6_e20	CBM6:21|GH16_16:20	3.2.1.81:2	beta-glucan, xylan, cellulose	127	NBT05_RS08985	1034	1.4e-45	1	126	815	940	0.984251968503937	0.984251968503937
GH16_e195	GH16_16:7	-	-	274	NBT05_RS08995	375	2.6e-139	1	274	89	364	0.9963503649635036	0.9963503649635036
GH86_e12	GH86:15	-	-	608	NBT05_RS09025	882	1.5e-240	2	608	30	654	0.9967105263157895	0.9967105263157895
GH16_e249	GH16_15:34	3.2.1.81:4	agarose	232	NBT05_RS09030	420	1.2e-119	1	232	170	416	0.9956896551724138	0.9956896551724138
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	NBT05_RS09095	272	6.3e-22	2	204	36	257	0.9805825242718447	0.9805825242718447
GH2_e16	GH2:215|CBM32:1	3.2.1.23:3	beta-galactan	748	NBT05_RS09110	845	0	7	748	29	781	0.9906417112299465	0.9906417112299465
GH117_e15	GH117:110|CBM6:2	3.2.1.159:6	agarose	130	NBT05_RS09115	427	2.1e-56	2	129	109	235	0.9769230769230769	0.9769230769230769
GH117_e15	GH117:110|CBM6:2	3.2.1.159:6	agarose	130	NBT05_RS09115	427	4.8e-29	36	128	233	319	0.7076923076923077	0.7076923076923077
GH82_e3	GH82:28	3.2.1.157:3	carrageenan	184	NBT05_RS09155	502	8.9e-44	13	183	43	219	0.9239130434782609	0.9239130434782609
