Organism,Scaffold,Start,End,Score,LR136958_3355,LR136958_3356,LR136958_3357,LR136958_3358,LR136958_3359,LR136958_3360,LR136958_3361,LR136958_3362,LR136958_3363,LR136958_3364,LR136958_3365,LR136958_3366
CABDWQ010000001,CABDWQ010000001.1,1092291,1099383,5.1426,0,0,0,0,0,0,1,0,0,1,1,1
CP000388,CP000388.1,4410803,4416529,2.1074,0,0,0,0,0,0,1,0,1,0,0,1
CP003873,CP003873.1,1023778,1030870,5.1421,0,0,0,0,0,0,1,0,0,1,1,1
LR136958,LR136958.1,3936796,3956397,24.0777,1,1,1,1,1,1,2,1,1,1,1,2
LT965928,LT965928.1,1244356,1251522,5.1492,0,0,0,0,0,0,1,0,0,1,1,1
