Organism,Scaffold,Start,End,Score,AE015928_3878,AE015928_3879,AE015928_3880,AE015928_3881
AAXF02000051,AAXF02000051.1,397840,402529,7.2948,1,1,1,1
AE015928,AE015928.1,4883106,4887725,7.3040,1,1,1,1
CP000139,CP000139.1,850618,853879,5.1927,0,1,1,1
CP012801,CP012801.1,2480153,2484973,7.2518,1,1,1,1
CP129143,CP129143.1,563121,567779,4.1998,1,1,0,1
EQ973490,EQ973490.1,36760,41580,7.2520,1,1,1,1
FP929033,FP929033.1,5875539,5880229,7.2943,1,1,1,1
JH724241,JH724241.1,1812966,1817656,7.2941,1,1,1,1
LT622246,LT622246.1,2312075,2316764,7.2948,1,1,1,1
NC_004663,NC_004663.1,4883106,4887725,7.3040,1,1,1,1
NC_009614,NC_009614.1,850615,853879,5.1928,0,1,1,1
NZ_ABJL02000006,NZ_ABJL02000006.1,163269,168010,7.2509,1,1,1,1
NZ_CP012938,NZ_CP012938.1,5018022,5022711,7.2948,1,1,1,1
NZ_CP046176,NZ_CP046176.1,4667219,4670484,5.1930,0,1,1,1
NZ_CP113514,NZ_CP113514.1,389123,393813,7.2939,1,1,1,1
NZ_DS995511,NZ_DS995511.1,888717,894297,7.2470,1,1,1,1
NZ_EQ973490,NZ_EQ973490.1,36760,41580,7.2520,1,1,1,1
NZ_JH992941,NZ_JH992941.1,230785,235535,7.2502,1,1,1,1
