Organism,Scaffold,Start,End,Score,NZ_PJEE01000001_332,NZ_PJEE01000001_333,NZ_PJEE01000001_334,NZ_PJEE01000001_335,NZ_PJEE01000001_336,NZ_PJEE01000001_337,NZ_PJEE01000001_338,NZ_PJEE01000001_339,NZ_PJEE01000001_340,NZ_PJEE01000001_341
AE014295,AE014295.3,1165270,1177370,12.5112,1,1,1,1,1,0,0,0,1,1
CP000303,CP000303.1,555378,567551,12.4967,1,1,1,1,1,0,0,0,1,1
CP001095,CP001095.1,507437,511773,4.1572,0,0,0,0,1,0,0,0,1,1
CP006712,CP006712.1,461636,473770,12.4967,1,1,1,1,1,0,0,0,1,1
CP016019,CP016019.1,479383,491483,12.5129,1,1,1,1,1,0,0,0,1,1
CP137763,CP137763.1,466090,478191,12.5152,1,1,1,1,1,0,0,0,1,1
NC_015067,NC_015067.1,444990,454595,8.4065,0,0,0,1,1,1,0,0,1,1
NZ_AP012330,NZ_AP012330.1,1890845,1900961,8.3320,1,1,1,1,0,0,0,0,1,0
NZ_AP022379,NZ_AP022379.1,451179,459402,8.4052,0,0,0,1,1,1,0,0,1,1
NZ_CP079235,NZ_CP079235.1,1945310,1955235,8.3315,1,1,1,1,0,0,0,0,1,0
NZ_PJEE01000001,NZ_PJEE01000001.1,419369,431274,14.6329,1,1,1,1,1,1,0,0,1,1
